Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,3,Not at all,,,,,,,2 = Pas d'autre enfant {123},,,,,,,,2 = No more {192},2 = No more {6},,2 = No more {2},,2 = No more {28},,2 = Pas d'autre enfant {110},2 = No more {87},,,,,2 = No more {7},,,,,,,,,2 = Pas d'autre enfant {35},,,,2 = Pas d'autre enfant {77},,,2 = Pas d'autre enfant {30},,,,2 = No más {37},,,,,,,,,2 = No more {34},2 = No mÃ¡s {21},,,,,2 = Pas d'autre enfant {83},,,2 = No mÃ¡s {175},,2 = Nomas {36},,,,,,,,,,,,,2 = No more {78},,,,,,,2 = NÃ£o queria filhos {25},,,2 = No more {41},,,,,,,,,,,2 = No more {318},,,,,2 = No more {6},2 = No more {8},,,,2 = No more {2},,,,2 = No more {76},,,,,,,,,,2 = No more {190},,,,2 = Pas d'autre enfant {99},2 = Pas d'autre enfant {79},,,2 = Pas d'autre enfant {57},,2 = No mÃ¡s {34},,,,2 = No more {24},2 = No more {26},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No more {9},,,,,,,,,,,2 = No more {43},,,,,,2 = No more {156},,,,,,2 = No mÃ¡s {112},2 = No más {21},,,,,2 = No more {5},,2 = No more {1},,,,2 = NÃƒÂ£o queria filhos {24},,,,2 = Not wanted more children {1},2 = No more {2},,,,2 = No more {73},,,,,,2 = No more {46},,2 = No more {156},2 = No more {77},,,2 = No more {68},2 = No more {86},,,2 = No more {30},,,,2 = No more {36},2 = No more {41},,,,,,,,2 = No more {5},,2 = No more {44},,,,,2 = Pas d'autre enfant {49},,,,,,2 = Pas d'autre enfant {36},,,,,,,2 = No more {6},,,,,,,,,,,2 = No more {11},2 = No more {14},,,,,,2 = No more {67},,,,,,,
,2,Later,,,,,,,1 = Plus tard {216},,,,,,,,1 = Later {264},1 = Later {22},,1 = Later {9},,1 = Later {65},,1 = Plus tard {331},1 = Later {44},,,,,1 = Later {12},,,,,,,,,1 = Plus tard {166},,,,1 = Plus tard {303},,,1 = Plus tard {559},,,,1 = Más adelante {54},,,,,,,,,1 = Later {48},1 = MÃ¡s tarde {42},,,,,1 = Plus tard {477},,,1 = MÃ¡s tarde {565},,1 = MÃ¡s tarde {153},,,,,,,,,,,,,1 = Later {266},,,,,,,1 = Mais tarde {148},,,1 = Later {104},,,,,,,,,,,1 = Later {415},,,,,1 = Later {64},1 = Later {21},,,,1 = Later {38},,,,1 = Later {69},,,,,,,,,,1 = Later {726},,,,1 = Plus tard {442},1 = Plus tard {349},,,1 = Plus tard {194},,1 = MÃ¡s tarde {104},,,,1 = Later {22},1 = Later {87},,1 = Later {7},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Later {30},,,,,,,,,,,1 = Later {38},,,,,,1 = Later {403},,,,,,1 = MÃ¡s adelante {182},1 = Más tarde {91},,,,,1 = Later {20},,1 = Later {10},,,,1 = Muito tarde {104},,,,1 = Later {16},1 = Later {11},,,,1 = Later {150},,,,,,1 = Later {81},,1 = Later {261},1 = Later {205},,,1 = Later {308},1 = Later {309},,,1 = Later {94},,,,1 = Later {90},1 = Later {97},,,,,,,,1 = Later {12},,1 = Later {47},,,,,1 = Plus tard {132},,,,,,1 = Plus tard {55},,,,1 = Later {2},,,1 = Later {2},,,,,,,,,,,1 = Later {55},1 = Later {48},,,,,,1 = Later {241},,,,,,,
,7,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Missing,,,,,,,9 = Manquant {73},,,,,,,,9 = Missing {48},,,,,9 = Missing {5},,9 = Non déclaré/Pas de réponse {1},9 = Missing {1},,,,,,,,,,,,,,9 = Manquant {6},,,,9 = Manquant {57},,,9 = Manquant {49},,,,9 = Missing {1},,,,,,,,,9 = Omitido {1},9 = Omitido {1},,,,,9 = Manquant {8},,,9 = Omitido {52},,9 = Omitido {1},,,,,,,,,,,,,,,,,,,,,,,9 = Missing {30},,,,,,,,,,,9 = Missing {3},,,,,,9 = Missing {1},,,,9 = Missing {5},,,,9 = Missing {24},,,,,,,,,,9 = Missing {28},,,,9 = Manquant {57},9 = Manquant {15},,,9 = Manquant {36},,,,,,9 = Missing {16},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {1},,,,,,,,,,,9 = Missing {3},,,,,,9 = Missing {54},,,,,,,9 = No reportado {},,,,,,,9 = Missing {1},,,,9 = Em falta {3},,,,,9 = Missing {3},,,,9 = Missing {22},,,,,,9 = Missing {29},,,9 = Missing {4},,,9 = Missing {22},9 = Missing {34},,,9 = Missing {4},,,,9 = Missing {4},9 = Missing {6},,,,,,,,9 = Missing {1},,,,,,,9 = Manquant {16},,,,,,9 = Manquant {2},,,,,,,,,,,,,,,,,,9 = Missing {1},9 = Missing {1},,,,,,9 = Missing {10},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),,,,,,,NA = NA {40772},,,,,,,,NA = NA {59095},NA = NA {1888},,NA = NA {5900},,NA = NA {4387},,NA = NA {15906},NA = NA {16691},,,,,NA = NA {4626},,,,,,,,,NA = NA {10240},,,,NA = NA {12070},,,NA = NA {17450},,,,NA = NA {5648},,,,,,,,,NA = NA {9357},NA = NA {9168},,,,,NA = NA {12667},,,NA = NA {29440},,NA = NA {14675},,,,,,,,,,,,,NA = NA {10619},,,,,,,NA = NA {10571},,,NA = NA {5634},,,,,,,,,,,NA = NA {55709},,,,,NA = NA {14158},NA = NA {12880},,,,NA = NA {6950},,,,NA = NA {23768},,,,,,,,,,NA = NA {24486},,,,NA = NA {28248},NA = NA {18995},,,NA = NA {13370},,NA = NA {12799},,,,NA = NA {9537},NA = NA {13344},,NA = NA {3599},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {5875},,,,,,,,,,,NA = NA {14852},,,,,,NA = NA {33086},,,,,,NA = NA {9551},NA = NA {7741},,,,,NA = NA {6693},,NA = NA {1329},,,,NA = NA {2970},,,,NA = NA {5780},NA = NA {4981},,,,NA = NA {13821},,,,,,NA = NA {11412},,NA = NA {11905},NA = NA {13678},,,NA = NA {18216},NA = NA {19898},,,NA = NA {7109},,,,NA = NA {4826},NA = NA {4857},,,,,,,,NA = NA {4006},,NA = NA {22165},,,,,NA = NA {6819},,,,,,NA = NA {10421},,,,NA = NA {7691},,,NA = NA {8231},,,,,,,,,,,NA = NA {12048},NA = NA {10127},,,,,,NA = NA {15058},,,,,,,
