Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
TRUE,94,In menopause/had hysterectomy,,,,,,,94 = 94 {36},,,,,,,,94 = 94 {552},94 = 94 {38},,94 = 94 {54},,94 = 94 {74},,,94 = 94 {49},,,,,94 = 94 {43},,,,,,,,,94 = Ménopausée / A eu une hystérectomie {159},,,,94 = 94 {144},,,94 = 94 {318},,,,94 = 94 {9},,,,,,,,,94 = 94 {206},94 = 94 {175},,,,,94 = 94 {359},,,94 = 94 {722},,94 = 94 {306},,,,,,,,,,,,,94 = 94 {273},,,,,,,94 = 94 {194},,,94 = 94 {61},,,,,,,,,,,94 = 94 {486},,,,,94 = 94 {388},94 = 94 {407},,,,94 = 94 {109},,,,94 = 94 {266},,,,,,,,,,94 = 94 {322},,,,,,,,94 = 94 {67},,94 = 94 {54},,,,,94 = 94 {158},,94 = 94 {40},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94 = 94 {47},,,,,,,,,,,94 = 94 {348},,,,,,94 = 94 {345},,,,,,94 = 94 {139},,,,,,94 = 94 {169},,94 = 94 {40},,,,94 = 94 {45},,,,94 = 94 {93},94 = 94 {85},,,,94 = 94 {169},,,,,,94 = 94 {63},,,94 = 94 {89},,,94 = 94 {135},94 = 94 {55},,,94 = 94 {76},,,,94 = 94 {43},94 = 94 {71},,,,,,,,94 = 94 {58},,94 = 94 {393},,,,,94 = 94 {211},,,,,,,,,,94 = 94 {33},,,94 = 94 {211},,,,,,,,,,,94 = 94 {157},94 = 94 {242},,,,,,94 = 94 {144},,,,,,,
,95,Before Last Birth,,,,,,,95 = 95 {772},,,,,,,,95 = 95 {1043},95 = 95 {13},,95 = 95 {191},,95 = 95 {90},,,95 = 95 {451},,,,,95 = 95 {36},,,,,,,,,95 = Avant la dernière naissance {1475},,,,95 = 95 {2266},,,95 = 95 {3796},,,,95 = 95 {30},,,,,,,,,95 = 95 {266},95 = 95 {88},,,,,95 = 95 {2285},,,95 = 95 {438},,95 = 95 {434},,,,,,,,,,,,,95 = 95 {1284},,,,,,,95 = 95 {1179},,,95 = 95 {194},,,,,,,,,,,95 = 95 {2208},,,,,95 = 95 {336},95 = 95 {393},,,,95 = 95 {390},,,,95 = 95 {1114},,,,,,,,,,95 = 95 {2935},,,,,,,,95 = 95 {689},,95 = 95 {118},,,,,95 = 95 {217},,95 = 95 {13},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95 = 95 {74},,,,,,,,,,,95 = 95 {517},,,,,,95 = 95 {3873},,,,,,95 = 95 {294},,,,,,95 = 95 {110},,95 = 95 {13},,,,95 = 95 {210},,,,95 = 95 {62},95 = 95 {93},,,,95 = 95 {862},,,,,,95 = 95 {883},,,95 = 95 {683},,,95 = 95 {1957},95 = 95 {1365},,,95 = 95 {118},,,,95 = 95 {165},95 = 95 {252},,,,,,,,95 = 95 {33},,95 = 95 {473},,,,,95 = 95 {848},,,,,,,,,,95 = 95 {104},,,95 = 95 {229},,,,,,,,,,,95 = 95 {248},95 = 95 {308},,,,,,95 = 95 {1090},,,,,,,
,96,Never menstruated,,,,,,,96 = 96 {47},,,,,,,,96 = 96 {131},96 = 96 {1},,96 = 96 {2},,96 = 96 {14},,,96 = 96 {31},,,,,,,,,,,,,,96 = N'a jamais eu de règles {31},,,,96 = 96 {194},,,96 = 96 {154},,,,96 = 96 {3},,,,,,,,,96 = 96 {10},96 = 96 {13},,,,,96 = 96 {97},,,96 = 96 {19},,96 = 96 {2},,,,,,,,,,,,,96 = 96 {53},,,,,,,96 = 96 {175},,,96 = 96 {3},,,,,,,,,,,96 = 96 {56},,,,,96 = 96 {11},96 = 96 {7},,,,96 = 96 {1},,,,96 = 96 {69},,,,,,,,,,96 = 96 {147},,,,,,,,96 = 96 {165},,96 = 96 {8},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96 = 96 {4},,,,,,,,,,,96 = 96 {28},,,,,,96 = 96 {268},,,,,,96 = 96 {13},,,,,,96 = 96 {1},,96 = 96 {2},,,,96 = 96 {7},,,,,,,,,96 = 96 {93},,,,,,96 = 96 {139},,,,,,96 = 96 {121},96 = 96 {43},,,96 = 96 {4},,,,96 = 96 {16},96 = 96 {29},,,,,,,,,,96 = 96 {247},,,,,96 = 96 {50},,,,,,,,,,96 = 96 {1},,,,,,,,,,,,,,96 = 96 {2},96 = 96 {2},,,,,,96 = 96 {57},,,,,,,
,99,Missing,,,,,,,99 = 99 {130},,,,,,,,99 = 99 {332},99 = 99 {10},,99 = 99 {4},,99 = 99 {25},,,99 = 99 {20},,,,,99 = 99 {4},,,,,,,,,99 = Manquant {10},,,,99 = 99 {179},,,99 = 99 {265},,,,99 = 99 {38},,,,,,,,,99 = 99 {13},99 = 99 {22},,,,,99 = 99 {29},,,99 = 99 {154},,99 = 99 {3},,,,,,,,,,,,,,,,,,,,99 = 99 {1},,,99 = 99 {42},,,,,,,,,,,99 = 99 {16},,,,,,99 = 99 {5},,,,99 = 99 {1},,,,99 = 99 {175},,,,,,,,,,99 = 99 {44},,,,,,,,99 = 99 {333},,99 = 99 {106},,,,99 = Missing{27},,,99 = 99 {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99 = 99 {1},,,,,,,,,,,99 = 99 {9},,,,,,99 = 99 {150},,,,,,99 = 99 {22},,,,,,99 = 99 {9},,99 = 99 {5},,,,99 = 99 {39},,,,99 = 99 {4},99 = 99 {4},,,,99 = 99 {94},,,,,,99 = 99 {748},,,99 = 99 {5},,,,99 = 99 {161},,,99 = 99 {68},,,,99 = 99 {5},99 = 99 {4},,,,,,,,99 = 99 {4},,99 = 99 {2},,,,,99 = 99 {25},,,,,,99 = 99 {257},,,,99 = 99 {6},,,99 = 99 {38},,,,,,,,,,,99 = 99 {12},99 = 99 {2},,,,,,99 = 99 {11},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),,,,,,,NA = NA {23650},,,,,,,,NA = NA {17222},NA = NA {375},,NA = NA {169},,NA = NA {402},,,NA = NA {2901},,,,,NA = NA {200},,,,,,,,,NA = NA {597},,,,NA = NA {1155},,,NA = NA {2246},,,,NA = NA {658},,,,,,,,,NA = NA {374},NA = NA {242},,,,,NA = NA {635},,,NA = NA {1050},,NA = NA {1522},,,,,,,,,,,,,NA = NA {411},,,,,,,NA = NA {562},,,NA = NA {736},,,,,,,,,,,NA = NA {22317},,,,,NA = NA {224},NA = NA {245},,,,NA = NA {145},,,,NA = NA {1527},,,,,,,,,,NA = NA {1370},,,,,,,,NA = NA {6106},,NA = NA {829},,,,NA = NA {847},NA = NA {647},,NA = NA {117},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {666},,,,,,,,,,,NA = NA {811},,,,,,NA = NA {3201},,,,,,NA = NA {419},,,,,,NA = NA {720},,NA = NA {90},,,,NA = NA {172},,,,NA = NA {414},NA = NA {284},,,,NA = NA {822},,,,,,NA = NA {4455},,NA = NA {2289},NA = NA {6064},,,NA = NA {7397},NA = NA {8327},,,NA = NA {952},,,,NA = NA {292},NA = NA {259},,,,,,,,NA = NA {194},,NA = NA {299},,,,,NA = NA {697},,,,,,NA = NA {5741},,,,NA = NA {2309},,,NA = NA {1417},,,,,,,,,,,NA = NA {464},NA = NA {381},,,,,,NA = NA {1068},,,,,,,
