Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,N = No {8506},,2 = No {2842},,,,NA = Non {11658},,,N = N {11758},,,,N = No {41186},N = N {32433},N = N {1380},2 = No {3693},N = N {3502},N = No {833},N = N {2035},,,N = N {7891},,,,N = No {2694},N = N {3728},,,N = Non {3253},,,N = Non {2918},,,N = Non {6962},,,N = Non {4910},N = N {4889},,,N = N {6757},,,,N = N {2839},,,,N = Non {5749},,,,,N = N {3444},N = N {5406},,,,,N = N {4616},N = Non {1776},,N = N {15568},,N = N {7203},,,,,,,N = N {3681},,,N = No {5635},,N = No {2579},N = N {4823},,,,,N = Non {3524},,2 = 2 {35},,N = No {2666},N = N {2519},,,,,,,,,,N = N {10243},NA = No live birth in last 2 years {18260},,N = No {2004},N = N {2707},N = No {7810},NA = No {11987},N = N {10564},,,N = N {3326},N = N {3282},,,1 = No {3589},N = N {11675},,,,,,,,,N = No {15885},N = N {11385},,,,,,,N = Non {4494},N = N {7534},,N = N {9078},,,1 = No {4116},N = N {5053},NA = No {10455},2 = No {1175},N = N {2999},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N = N {1703},N = N {4614},,,,,,,,,,,N = N {7876},,,,,N = No {10165},N = N {12447},,,,,,N = N {4936},,,,,,N = N {5277},,N = N {650},,,,N = N {1432},,,2 = No {4160},N = N {3029},N = N {3754},,,N = No {4009},N = N {6872},,,N = No {2716},,,NA = No {3806},,,N = N {4883},,,NA = No {5110},N = N {6032},,N = No {2739},N = N {3078},,,,N = No {2273},N = N {2306},,,,,N = No {8621},,N = N {3755},N = N {3328},N = No {20653},N = N {13248},,,,N = N {2798},N = N {2761},,N = No {2193},,,,N = N {3344},,,N = No {3261},N = N {3466},,N = No {3735},,,,N = N {1713},,N = N {6802},N = No {1289},,,,2 = No {5260},N = N {6816},N = N {5617},,N = No {2327},,,N = N {8489},N = N {6938},,,,,,,
,1,Yes,Y = Yes {4962},,1 = Yes {395},,,,NA = Oui {5978},,,S = S {3327},,,,Y = Yes {11942},Y = Y {7866},Y = Y {146},1 = Yes {1179},Y = Y {1324},Y = Yes {312},Y = Y {702},,,Y = Y {2465},,,,D = D {1174},Y = Y {718},,,Y = Oui {2384},,,Y = Oui {2901},,,O = Oui {2899},,,Y = Y {4129},O = O {4545},,,O = O {6153},,,,S = S {854},,,,Y = Oui {3711},,,,,S = S {4407},S = S {2193},,,,,O = O {4809},Y = Oui {844},,S = S {7566},,S = S {2832},,,,,,,Y = Y {3093},,,Y = Yes {760},,Y = Yes {1459},Y = Y {2873},,,,,Y = Oui {2455},,1 = 1 {7497},,Y = Yes {917},Y = Y {1258},,,,,,,,,,Y = Y {6535},NA = One or more live births in last 2 years {13994},,Y = Yes {538},Y = Y {630},Y = Yes {1784},NA = Yes {2027},Y = Y {2106},,,Y = Y {1152},Y = Y {1766},,,2 = Yes {1622},Y = Y {4444},,,,,,,,,Y = Yes {10374},Y = Y {7576},,,,,,,Y = Oui {3539},O = O {635},,Y = Y {3032},,,2 = Yes {1460},Y = Y {1690},NA = Yes {2375},1 = Yes {351},Y = Y {494},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y = Y {3620},Y = Y {637},,,,,,,,,,,Y = Y {2086},,,,,Y = Yes {6307},Y = Y {10036},,,,,,S = S {2278},,,,,,Y = Y {723},,Y = Y {98},,,,Y = Y {758},,,1 = Yes {1445},Y = Y {1187},Y = Y {959},,,Y = Yes {2356},Y = Y {3415},,,Y = Yes {2326},,,NA = Yes {3516},,,Y = Y {2891},,,NA = Yes {5730},Y = Y {5684},,J = Yes {798},Y = Y {1265},,,,Y = Yes {1018},Y = Y {987},,,,,Y = Yes {1622},,Y = Y {1440},Y = Y {503},Y = Yes {3365},Y = Y {2762},,,,Y = Y {1751},O = O {1961},,Y = Yes {415},,,,O = O {1135},,,Y = Yes {846},Y = Y {1467},,Y = Yes {1128},,,,S = S {433},,Y = Y {2095},Y = Yes {680},,,,1 = Yes {1023},Y = Y {1363},Y = Y {1484},,Y = Yes {1585},,,Y = Y {2850},Y = Y {3913},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = DK {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,NA = NA {1891},,,,NA = NA {23548},,,NA = NA {8693},,,,NA = NA {25132},NA = NA {19300},NA = NA {390},NA = NA {1034},NA = NA {1085},NA = NA {530},NA = NA {1748},,,NA = NA {6467},,,,NA = NA {1109},NA = NA {199},,,NA = NA {2522},,,NA = NA {3795},,,NA = NA {586},,,NA = NA {3397},NA = NA {3073},,,NA = NA {5178},,,,NA = NA {2047},,,,NA = NA {3560},,,,,NA = NA {1589},NA = NA {1633},,,,,NA = NA {3810},NA = NA {4751},,NA = NA {7098},,NA = NA {4830},,,,,,,NA = NA {3478},,,NA = NA {4513},,NA = NA {NA},NA = NA {3267},,,,,NA = NA {3925},,NA = NA {3212},,NA = NA {1670},NA = NA {2032},,,,,,,,,,NA = NA {10786},NA = NA {24191},,NA = NA {1235},NA = NA {1806},NA = NA {5125},NA = NA {214},NA = NA {240},,,NA = NA {2495},NA = NA {1947},,,NA = NA {2492},NA = NA {7818},,,,,,,,,NA = NA {814},NA = NA {6469},,,,,,,NA = NA {5383},NA = NA {5488},,NA = NA {827},,,NA = NA {2481},NA = NA {2856},NA = NA {627},NA = NA {859},NA = NA {113},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {536},NA = NA {664},,,,,,,,,,,NA = NA {4974},,,,,NA = NA {10621},NA = NA {11216},,,,,,NA = NA {2631},,,,,,NA = NA {718},,NA = NA {593},,,,NA = NA {911},,,NA = NA {2290},NA = NA {1581},NA = NA {284},,,NA = NA {2892},NA = NA {3779},,,NA = NA {2235},,,NA = NA {4246},,,NA = NA {6190},,,NA = NA {7774},NA = NA {8611},,NA = NA {2422},NA = NA {2894},,,,NA = NA {1665},NA = NA {1708},,,0 = NA {12664},,NA = NA {383},,NA = NA {2344},NA = NA {193},NA = NA {13169},NA = NA {6246},,,,NA = NA {1661},NA = NA {2294},,NA = NA {2218},,,,NA = NA {6035},,,NA = NA {3070},NA = NA {2760},,NA = NA {1311},,,,NA = NA {957},,NA = NA {5308},NA = NA {1292},,,,NA = NA {3188},NA = NA {3936},NA = NA {3089},,,,,NA = NA {1149},NA = NA {4525},,,,,,,
