Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,2 = No {2051},,,,,,2 = Non {1087},,,,,,,,2 = No {1972},2 = No {28},,2 = No {321},,2 = No {147},,2 = Non {2200},2 = No {745},,,,,2 = No {76},,,,,,,,,2 = Non {1174},,,,2 = Non {2716},,,2 = Non {4083},,,,2 = No {253},,,,,,,,,2 = No {771},2 = No {375},,,,,2 = Non {2476},,,2 = No {1103},,2 = No {643},,,,,,,,,,,,,2 = No {1436},,,,,,,2 = NÃ£o {1757},,,2 = No {268},,,,,,,,,,,2 = No {3133},,,2 = No {114},,2 = No {631},2 = No {605},,,,2 = No {460},,,,2 = No {1757},,,,,,,,,,2 = No {3631},,,,2 = Non {5287},2 = Non {3298},,,2 = Non {1433},,2 = No {746},,,,2 = No {533},2 = No {747},,2 = No {74},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No {862},2 = No {98},,,,,,,,,,,2 = No {703},,,,,,2 = No {5050},,,,,,2 = No {607},2 = No {484},,,,,2 = No {198},,2 = No {19},,,,2 = NÃƒÂ£o {300},,,,2 = No {150},2 = No {140},,,,2 = No {1534},,,,,,2 = No {1936},,2 = No {1117},2 = No {749},,,2 = No {2784},2 = No {2843},,,2 = No {279},,,,2 = No {343},2 = No {350},,,,,,,,2 = No {89},,2 = No {590},,,,,2 = Non {1002},,,,,,2 = Non {186},,,,2 = No {339},,,2 = No {331},,,2 = No {93},,,,,,,,2 = No {425},2 = No {444},,,,,,2 = No {1787},,,,,,,
,1,Yes,1 = Yes {2781},,,,,,1 = Oui {4763},,,,,,,,1 = Yes {5808},1 = Yes {119},,1 = Yes {1003},,1 = Yes {551},,1 = Oui {2849},1 = Yes {1717},,,,,1 = Yes {634},,,,,,,,,1 = Oui {1669},,,,1 = Oui {1786},,,1 = Oui {1978},,,,1 = Sí {598},,,,,,,,,1 = Si {3636},1 = SÃ­ {1815},,,,,1 = Oui {2325},,,1 = Si {6372},,1 = Si {2182},,,,,,,,,,,,,1 = Yes {1437},,,,,,,1 = Sim {1439},,,1 = Yes {963},,,,,,,,,,,1 = Yes {10850},,,1 = Yes {512},,1 = Yes {1396},1 = Yes {1483},,,,1 = Yes {1283},,,,1 = Yes {2621},,,,,,,,,,1 = Yes {3859},,,,1 = Oui {5215},1 = Oui {3247},,,1 = Oui {2086},,1 = SÃ­ {2280},,,,1 = Yes {1144},1 = Yes {1628},,1 = Yes {417},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Yes {2756},1 = Yes {535},,,,,,,,,,,1 = Yes {1352},,,,,,1 = Yes {4768},,,,,,1 = SÃ­ {1670},1 = Si {1316},,,,,1 = Yes {526},,1 = Yes {78},,,,1 = Sim {449},,,,1 = Yes {1033},1 = Yes {815},,,,1 = Yes {1818},,,,,,1 = Yes {2017},,1 = Yes {3216},1 = Yes {2136},,,1 = Yes {2955},1 = Yes {2780},,,1 = Yes {956},,,,1 = Yes {647},1 = Yes {633},,,,,,,,1 = Yes {402},,1 = Yes {2172},,,,,1 = Oui {922},,,,,,1 = Oui {947},,,,1 = Yes {1128},,,1 = Yes {1213},,,1 = SÃ­ {340},,,,,,,,1 = Yes {927},1 = Yes {1031},,,,,,1 = Yes {2112},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = No sabe {4},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,9 = Missing {130},,,,,,9 = Manquant {128},,,,,,,,9 = Missing {86},,,,,9 = Missing {4},,9 = Non déclaré/Pas de réponse {3},9 = Missing {3},,,,,9 = Missing {8},,,,,,,,,9 = Manquant {56},,,,9 = Manquant {128},,,9 = Manquant {92},,,,9 = Missing {3},,,,,,,,,,9 = Omitido {3},,,,,9 = Manquant {8},,,9 = Omitido {91},,9 = Omitido {7},,,,,,,,,,,,,,,,,,,,,,,9 = Missing {27},,,,,,,,,,,9 = Missing {11},,,9 = Missing {4},,,9 = Missing {18},,,,9 = Missing {23},,,,9 = Missing {66},,,,,,,,,,9 = Missing {86},,,,9 = Manquant {96},9 = Manquant {31},,,9 = Manquant {110},,9 = No responde {2},,,,9 = Missing {13},,,9 = Missing {3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {2},9 = Missing {4},,,,,,,,,,,9 = Missing {31},,,,,,9 = Missing {219},,,,,,9 = Missing {1},9 = No reportado {3},,,,,,,9 = Missing {1},,,,9 = Em falta {9},,,,9 = Missing {4},9 = Missing {4},,,,9 = Missing {63},,,,,,9 = Missing {114},,,9 = Missing {6},,,9 = Missing {38},9 = Missing {61},,,9 = Missing {30},,,,9 = Missing {28},9 = Missing {4},,,,,,,,9 = Missing {12},,,,,,,9 = Manquant {37},,,,,,9 = Manquant {2},,,,,,,9 = Missing {20},,,,,,,,,,,9 = Missing {11},9 = Missing {9},,,,,,9 = Missing {14},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),NA = NA {17091},,,,,,NA = NA {35206},,,,,,,,NA = NA {51733},NA = NA {1769},,NA = NA {4587},,NA = NA {3783},,NA =NA {11296},NA = NA {14358},,,,,NA = NA {3927},,,,,,,,,NA = NA {7548},,,,NA = NA {7877},,,NA = NA {11935},,,,NA = NA {4886},,,,,,,,,NA = NA {5033},NA = NA {7039},,,,,NA = NA {8426},,,NA = NA {22666},,NA = NA {12033},,,,,,,,,,,,,NA = NA {8090},,,,,,,NA = NA {7548},,,NA = NA {4551},,,,,,,,,,,NA = NA {42451},,,NA = NA {4513},,NA = NA {12201},NA = NA {10804},,,,NA = NA {5229},,,,NA = NA {19493},,,,,,,,,,NA = NA {17854},,,,NA = NA {18248},NA = NA {12862},,,NA = NA {10028},,NA = NA {9905},,,,NA = NA {7909},NA = NA {11082},,NA = NA {3112},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {2239},NA = NA {5278},,,,,,,,,,,NA = NA {12850},,,,,,NA = NA {23662},,,,,,NA = NA {7567},NA = NA {6050},,,,,NA = NA {5994},,NA = NA {1243},,,,NA = NA {2343},,,,NA = NA {4610},NA = NA {4038},,,,NA = NA {10651},,,,,,NA = NA {7501},,NA = NA {7989},NA = NA {11073},,,NA = NA {12837},NA = NA {14643},,,NA = NA {5972},,,,NA = NA {3938},NA = NA {4014},,,,,,,,NA = NA {3521},,NA = NA {19494},,,,,NA = NA {5055},,,,,,NA = NA {9379},,,,NA = NA {6226},,,NA = NA {6675},,,NA = NA {2670},,,,,,,,NA = NA {10752},NA = NA {8706},,,,,,NA = NA {11463},,,,,,,
