Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Yes,,,,,,,C = C {4},,,,,,,,C = C {12},C = Nevermenstruated {2},,C = Nevermenstruated {3},,C = Nevermenstruated {13},,C = N'a jamais eu de règles {62},C = Nevermenstruated {96},,,,,C = Nevermenstruated {1},,,,,,,,,C = N'a jamais eu de règles {11},,,,C = N'ajamaiseuderègles {158},,,C = N'ajamaiseuderègles {90},,,,C = Nuncamenstruó {2},,,,,,,,,C = Nuncamentruó {7},C = NuncamenstruÃ³ {5},,,,,C = N'ajamaiseuderÃ¨gles {253},,,C = C {18},,C = C {7},,,,,,,,,,,,,C = Nevermenstruated {75},,,,,,,C = C {52},,,C = C {3},,,,,,,,,,,C = Nevermenstruated {94},,,,,C = Nevermenstruated {10},C = Nevermenstruated {5},,,,C = C {4},,,,C = C {66},,,,,,,,,,C = C {170},,,,C = N'a jamais eu de règles {158},C = N'a jamais eu de règles {30},,,C = N'ajamaiseuderegles {137},,C = C {2},,,,C = Why do you think you are not physically able to get pregnant: C - Never menstruated {10},,,C = Nevermenstruated {4},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C = Nevermenstruated {2},,,,,,,,,,,C = C {37},,,,,,C = C {274},,,,,,C = NuncamenstruÃ³ {5},C = Nunca menstruó {1},,,,,C = Nevermenstruated {2},,C = Nevermenstruated {2},,,,C = C {6},,,,C = Nevermenstruated {2},,,,,C = Nevermenstruated {115},,,,,,C = Nevermenstruated {227},,C = Nevermenstruated {5},,,,C = Nevermenstruated {27},C = C {23},,,C = Nevermenstruated {5},,,,C = Nevermenstruated {24},C = Nevermenstruated {20},,,,,,,,C = C {1},,C = Nevermenstruated {24},,,,,C = N'ajamaiseuderègles {57},,,,,,C = N'ajamaiseuderègles {4},,,,C = Nevermenstruated {4},,,C = Nevermenstruated {5},,,,,,,,,,,C = Nevermenstruated {12},C = C {18},,,,,,C = C {101},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,,,,,,,? = ? {45},,,,,,,,? = ? {12},,,,,,,? = Non déclaré/Pas de réponse {3},? = Missing {3},,,,,? = Missing {2},,,,,,,,,? = Manquant {1},,,,? = Manquant {11},,,? = Manquant {21},,,,,,,,,,,,,,,,,,,? = Manquant {1},,,? = ? {12},,? = ? {1},,,,,,,,,,,,,,,,,,,,,,,? = ? {3},,,,,,,,,,,,,,,,,,,,,? = ? {6},,,,? = ? {5},,,,,,,,,,? = ? {7},,,,? = Manquant {20},? = Manquant {1},,,? = Manquant {3},,? = ? {5},,,,? = Missing {2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = ? {4},,,,,,? = ? {6},,,,,,,? = No reportado {1},,,,,? = Missing {1},,,,,,? = ? {1},,,,,,,,,? = Missing {6},,,,,,? = Missing {16},,,,,,,? = ? {12},,,? = Missing {6},,,,? = Missing {1},,,,,,,,,? = ? {1},,,,,,,? = Manquant {2},,,,,,,,,,,,,,,,,,,,,,,,,? = ? {1},,,,,,? = ? {1},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,NA = NA {41135},,,,,,,,NA = NA {59575},NA = NA {1914},,NA = NA {5908},,NA = NA {NA},,NA = NA {16283},NA = NA {16724},,,,,NA = NA {4642},,,,,,,,,,,,,NA = NA {12338},,,NA = NA {17977},,,,NA = NA {5738},,,,,,,,,NA = NA {9433},NA = NA {NA},,,,,NA = NA {12981},,,NA = NA {30202},,NA = NA {14857},,,,,,,,,,,,,NA = NA {NA},,,,,,,NA = NA {10692},,,NA = NA {5803},,,,,,,,,,,NA = NA {NA},,,,,NA = NA {14218},NA = NA {NA},,,,NA = NA {6985},,,,NA = NA {23866},,,,,,,,,,NA = NA {25253},,,,NA = NA {28668},NA = NA {19407},,,NA = NA {13517},,NA = NA {12930},,,,NA = NA {9599},NA = NA {NA},,NA = NA {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {NA},,,,,,,,,,,NA = NA {14895},,,,,,NA = NA {33419},,,,,,NA = NA {NA},NA = NA {7851},,,,,NA = NA {6715},,NA = NA {1339},,,,NA = NA {3094},,,,NA = NA {5795},NA = NA {NA},,,,NA = NA {13945},,,,,,NA = NA {11325},,NA = NA {12317},NA = NA {NA},,,NA = NA {18587},NA = NA {20292},,,NA = NA {7226},,,,NA = NA {4931},NA = NA {NA},,,,,,,,NA = NA {4022},,NA = NA {NA},,,,,NA = NA {6957},,,,,,NA = NA {10510},,,,NA = NA {NA},,,NA = NA {8234},,,,,,,,,,,NA = NA {12103},NA = NA {10171},,,,,,NA = NA {15274},,,,,,,
