Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,2 = No {7820},2 = no   {699},2 = No {1854},,,,2 = Non {2721},,2 = Não {1716},2 = No {6574},2 = No {2650},,,2 = No {5622},2 = No {4032},2 = No {556},2 = No {1023},2 = No {919},2 = No {530},2 = No {1361},,2 = Non {4369},2 = No {3662},,2 = No {1176},2 = No {2768},2 = No {1022},,,,2 = Non {1679},,2 = Non {1697},2 = Non {3486},2 = Non {1397},,2 = Non {2791},,2 = No {3894},2 = Non {2553},2 = Non {2093},,2 = Non {1283},2 = Non {3022},,2 = Non {1549},,2 = No {1391},,,,2 = Non {3428},,,,,2 = No {1222},2 = No {1396},,,,2 = Non {3620},2 = Non {3428},2 = Non {432},2 = No {1678},2 = No {6075},,2 = No {3316},,2 = No {1105},,,,2 = No {1713},2 = No {3208},,,2 = No {3452},,2 = No {1851},2 = No {2939},,,,2 = Não {2355},2 = Non {2030},,2 = NÃ£o {2710},2 = No {1387},2 = No {1452},2 = No {1303},,,,,,,,,2 = No {11310},2 = No {2232},2 = No {4079},,2 = No {1105},2 = No {1695},2 = No {4965},2 = No {4524},2 = No {3392},2 = Never gave birth {2572},,2 = No {2495},2 = No {1806},,,,2 = No {6357},,,2 = No {2032},,,,2 = Non {1579},,2 = No {5136},2 = No {5279},,,,2 = Non {6668},2 = Non {4422},,2 = Non {4516},2 = Non {1145},,2 = No {2324},,2 = No {1948},2 = No {1883},2 = No {2020},2 = No {2992},2 = No {732},2 = No {1317},,2 = Não {357},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No {530},2 = No {2182},,,,,,,,,,,2 = No {4209},,2 = Non {1333},,,2 = No {8093},2 = No {8289},,,,,,2 = No {2217},2 = No {1814},,,,,2 = No {1877},,2 = No {505},,2 = Nao {730},,2 = NÃƒÂ£o {746},,2 = No {3460},2 = No {1911},2 = No {1169},2 = No {1136},,2 = No {1116},2 = No {1289},2 = No {3069},,,2 = No {461},,,2 = No {734},,2 = No {232},2 = No {295},,,2 = No {1337},2 = No {1242},2 = No {1779},2 = No {1746},2 = No {1926},,,2 = No {1526},2 = No {36},2 = No {1469},,,2 = No {1154},2 = No {2231},2 = No {4185},,2 = No {2211},,2 = No {12942},2 = No {5975},,,2 = Non {3917},2 = Non {1661},2 = Non {1654},2 = No {1695},2 = No {1997},,,,2 = Non {545},,,2 = No {3053},2 = No {2686},,2 = No {1301},2 = No {1528},,,2 = No {607},2 = No {2570},2 = No {5022},2 = No {723},2 = No {1634},,2 = No {3232},2 = No {3188},2 = No {3484},2 = No {2726},,2 = No {434},,2 = No {2718},2 = no {3245},2 = No {3566},,,,,,,
,1,Yes,1 = Yes {13468},1 = yes  {3488},1 = Yes {3237},,,,1 = Oui {17621},,1 = Sim {5374},1 = Si {15085},1 = Yes {4371},,,1 = Yes {53128},1 = Yes {40291},1 = Yes {987},1 = Yes {4872},1 = Yes {4826},1 = Yes {1145},1 = Yes {2735},,1 = Oui {11446},1 = Yes {10356},,1 = Yes {3333},1 = Yes {5958},1 = Yes {3868},,,,1 = Oui {5637},,1 = Oui {2993},1 = Oui {5819},1 = Oui {3672},,1 = Oui {7070},,1 = Yes {13060},1 = Oui {9039},1 = Oui {9417},,1 = Oui {4622},1 = Oui {12910},,1 = Oui {3692},,1 = Sí {3693},,,,1 = Oui {9460},,,,,1 = Si {7851},1 = SÃ­ {7599},,,,1 = Oui {8789},1 = Oui {9425},1 = Oui {2620},1 = Sí {2806},1 = Si {23125},,1 = Si {10034},,1 = Yes {3136},,,,1 = Yes {4263},1 = Yes {6774},,,1 = Yes {6395},,1 = Yes {4038},1 = Yes {7688},,,,1 = Sim {5617},1 = Oui {5979},,1 = Sim {7524},1 = Yes {3414},1 = Yes {3583},1 = Yes {3773},,,,,,,,,1 = Yes {11683},1 = Yes {14546},1 = Yes {32254},,1 = Yes {2542},1 = Yes {3337},1 = Yes {9595},1 = Yes {9490},1 = Yes {9278},1 = Ever gave birth {7927},,1 = Yes {4478},1 = Yes {5048},,,,1 = Yes {16119},,,1 = Yes {4709},,,,1 = Oui {5518},,1 = Yes {21123},1 = Yes {18951},,,,1 = Oui {20086},1 = Oui {13987{,,1 = Oui {8033},1 = Oui {8147},,1 = SÃ­ {9783},,1 = Yes {6308},1 = Yes {5576},1 = Yes {6742},1 = Yes {9838},1 = Yes {1526},1 = Yes {2176},,1 = Sim {11288},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Yes {5317},1 = Yes {3069},,,,,,,,,,,1 = Yes {9953},,1 = Oui {4331},,,1 = Yes {16472},1 = Yes {22483},,,,,,1 = SÃ­ {7214},1 = Si {5496},,,,,1 = Yes {4123},,1 = Yes {748},,1 = Sim {2144},,1 = Sim {2189},,1 = Yes {8315},1 = Yes {5605},1 = Yes {4216},1 = Yes {3577},,1 = Yes {3790},1 = Yes {6365},1 = Yes {10290},,,1 = Yes {4581},,,1 = Yes {7322},,1 = Yes {11157},1 = Yes {7479},,,1 = Yes {10840},1 = Yes {11701},1 = Yes {2776},1 = Yes {3537},1 = Yes {4343},,,1 = Yes {3745},1 = Yes {3291},1 = Yes {3293},,,1 = Yes {12899},1 = Yes {3975},1 = Yes {6058},,1 = Yes {5195},,1 = Yes {24018},1 = Yes {16006},,,1 = Oui {757},1 = Oui {4549},1 = Oui {4722},1 = Yes {2340},1 = Yes {2608},,,,1 = Oui {4475},,,1 = Yes {4107},1 = Yes {4932},,1 = Yes {4863},1 = Yes {6478},,,1 = SÃ­ {2146},1 = Yes {5221},1 = Yes {8897},1 = Yes {1969},1 = Si {3259},,1 = Yes {6009},1 = Yes {6283},1 = Yes {8179},1 = Yes {7101},,1 = Yes {3308},,1 = Yes {6062},1 = yes {8094},1 = Yes {10843},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,9 = Missing {2},,,,,,,,,9 = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 = Missing {4},,,,,,,,,7 = Missing {26},,,,,,,,,,,,,,,,,,,,,,,,,9 = Manquant {2},,9 = No responde {3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = No reportado {1},,,,,,,,,,,,,7 = Missing {111},,,,,,,,,,,,,,,,,,,,,,,9 = Missing {21},,,,,,,,,,,,,,,,,,,,,7 = Missing {43},,,,,,,,,,,,,,,,,,,,,7 = missing {11},,,,,,,7 = Missing {1053},,,,,,,,,
,NA,NIU (not in universe),NA = NA {763},NA = NA {1269},NA = NA {37},,,,NA = NA {20842},,,NA = NA {2118},,,,NA = NA {19510},NA = NA {15276},NA = NA {373},NA = NA {11},NA = NA {166},,NA = NA {389},,NA = NA {533},NA = NA {2805},,,,NA = NA {87},NA = NA {4645},,,NA = NA {843},,,NA = NA {309},,,NA = NA {586},,NA = NA {10},NA = NA {844},NA = NA {997},,,NA = NA {2156},,NA = NA {1},,NA = NA {656},,,,NA = NA {132},,,,,NA = NA {367},NA = NA {237},,,,,NA = NA {382},NA = NA {4319},,NA = NA {1032},,NA = NA {1515},,,,,,,NA = NA {270},,,NA = NA {1061},,NA = NA {351},NA = NA {336},,,,,NA = NA {1895},,NA = NA {510},,NA = NA {218},NA = NA {733},,,,,,,,,,NA = NA {10786},NA = NA {20112},,NA = NA {130},NA = NA {111},NA = NA {159},NA = NA {214},NA = NA {240},,,,NA = NA {141},,,,NA = NA {1461},,,,,,,,,NA = NA {814},NA = NA {1200},,,,NA = NA {2092},NA = NA {1029},,NA = NA {867},NA = NA {4363},,NA = NA {827},,,NA = NA {598},NA = NA {837},NA = NA {627},NA = NA {127},NA = NA {113},,NA = NA {3415},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {12},NA = NA {664},,,,,,,,,,,NA = NA {774},,,,,NA = NA {2528},NA = NA {2927},,,,,,NA = NA {414},NA = NA {542},,1 = NA {5386},,,NA = NA {718},,NA = NA {88},,,,NA = NA {166},,,NA = NA {379},NA = NA {412},NA = NA {284},,,NA = NA {1603},NA = NA {707},,,NA = NA {2235},,,NA = NA {3512},,NA = NA {933},NA = NA {6190},,,NA = NA {6437},NA = NA {7384},,NA = NA {676},NA = NA {947},,,,NA = NA {1629},NA = NA {239},,,NA = NA {11510},,NA = NA {383},,NA = NA {133},,NA = NA {227},NA = NA {275},,,,,NA = NA {640},,NA = NA {221},,,,NA = NA {5494},,,NA = NA {17},NA = NA {75},,NA = NA {10},NA = NA {233},,,NA = NA {350},,NA = NA {286},NA = NA {569},,,,,NA = NA {452},NA = NA {363},,NA = NA {170},,,NA = NA {1149},NA = NA {967},,,,,,,
