Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,2,No,,,,,,,2 = Pas d'(autre) enfant {5613},,,,,,,,2 = No more / None {22924},2 = No more / None {741},2 = No more /none {3089},2 = No more / None {2289},2 = No more /none {757},2 = No more / None {1327},,2 = Pas d'autre enfant {3854},2 = No more / None {7491},,,,2 = No more /none {1970},2 = No more / None {2006},,,2 = Pas d'autres du tout/Aucun {1349},,,,,,2 = Pas d'(autre) enfant {2010},,,2 = Pas d'autres du tout/Aucun {1676},2 = Pas d'(autre) enfant {1926},,,2 = Pas d'(autre) enfant {1670},,,,2 = No más/Ninguno {1819},,,,2 = Pas d'autres du tout/Aucun {2011},,,,2 = No más / ninguno {4622},2 = No más / Ninguno {3603},2 = No mÃ¡s/ninguno {3516},,,,,2 = Pas d'(autre) enfant {2205},2 = Pas d'autres du tout/Aucun {807},,2 = No mÃ¡s o ninguno {4519},,2 = No mÃ¡s/ninguno {2765},,,,,,,,,,,,2 = No more /none {356},2 = No more / None {2496},,,,,2 = Pas d'autres du tout/Aucun {1193},,2 = Nada de filho(a)s {2084},,2 = No more /none {2537},2 = No more / None {2007},,,,,,,,,,2 = No more /none {6148},2 = No more / None {11896},,,,,2 = No more / None {4570},2 = No more / None {3911},,,2 = No more/none {2414},2 = No more / None {1683},,,,2 = No more / None {9167},,,,,,,,,,2 = No more / None {6486},,,,2 = Pas d'(autre) enfant {3610},2 = Pas d'(autre) enfant {2872},,,2 = Pas d'(autre) enfant {1709},,2 = No mÃ¡s/ninguno {3954},,,2 = No more/none {4188},2 = No {4382},2 = No more/ None {4967},2 = No more /none {956},2 = No more / None {1153},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No more / None {1907},,,,,,,,,,,2 = No more / None {6604},,,,,2 = No more /none {4449},2 = No more / None {5357},,,,,,2 = No mÃ¡s / Ninguno {3169},2 = No más/ninguno {2461},,,,,2 = No more / None {2206},,2 = No more / None {497},,,,2 = Nada de ter (outro) filho(s) {1094},,,2 = No more /none {3746},2 = No more / None {2380},2 = No more / None {1984},,,,2 = No more / None {2503},,,2 = No more /none {262},,,2 = No more / None {949},,2 = No more / None {4313},2 = No more / None {3302},,,2 = No more / None {2028},2 = No more / None {2266},,2 = No more /none {2196},2 = No more / None {2089},,,,2 = No more / None {2014},2 = No more / None {1915},,,2 = No more /none {5535},,2 = No more /none {3318},,2 = No more /none {3497},2 = No more / None {1761},,2 = No more / None {9115},,,,2 = Pas d'autres du tout/Aucun {1264},2 = Pas d'(autre) enfant {1546},,2 = No more/none {1961},,,,2 = Pas d'(autre) enfant {2530},,,2 = No more /none {2391},2 = No more / None {2529},,2 = No more /none {3094},2 = No more / None {3391},,,,,2 = No more /none {5297},,,,,,2 = No more / None {5721},2 = No more / None {4892},,2 = No more /none {1644},,,,2 = No more / None {4617},,,,,,,
,1,Yes,,,,,,,1 = Avoir un (autre) enfant {7857},,,,,,,,1 = Have (a/another) child {11056},1 = Have (a/another) child {528},1 = Have (a/another( child {2227},1 = Have (a/another) child {2455},1 = Have (a/another( child {545},1 = Have (a/another) child {1404},,1 = Avoir un autre enfant {10021},1 = Have (a/another) child {3855},,,,1 = Have (a/another( child {1761},1 = Have (a/another) child {1708},,,1 = Avoir (un /autre) enfant {3242},,,,,,1 = Avoir un (autre) enfant {6547},,,1 = Avoir (un /autre) enfant {5797},1 = Avoir un (autre) enfant {6517},,,1 = Avoir un (autre) enfant {10266},,,,1 = Tener (un/otro) hijo {1836},,,,1 = Avoir (un /autre) enfant {8831},,,,1 = Tener otro hijo {2738},1 = Tener un (otro) hijo {2774},1 = Tener (un/otro) hijo/a {2132},,,,,1 = Avoir un (autre) enfant {7552},1 = Avoir (un /autre) enfant {1224},,1 = Tener (un u otro) hijo(a). {12395},,1 = Tener (un/otro) hijo/a {5951},,,,,,,,,,,,1 = Have (a/another( child {641},1 = Have (a/another) child {6676},,,,,1 = Avoir (un /autre) enfant {4861},,1 = Ter(um/outro/filho(a) {6730},,1 = Have (a/another( child {1902},1 = Have (a/another) child {2155},,,,,,,,,,1 = Have (a/another) child {7126},1 = Have (a/another) child {12243},,,,,1 = Have (a/another) child {6182},1 = Have (a/another) child {6011},,,1 = Have another child {3755},1 = Have (a/another) child {3574},,,,1 = Have (a/another) child {7552},,,,,,,,,,1 = Have (a/another) child {12530},,,,1 = Avoir un (autre) enfant {18547},1 = Avoir un (autre) enfant {11450},,,1 = Avoir un (autre) enfant {3996},,1 = Tener (un/otro) hijo/a {4085},,,1 = Have (a/another) child {1189},1 = Yes {3351},1 = Have (a/another) child {6064},1 = Have another child {985},1 = Have (a/another) child {1820},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Have (a/another) child {2890},,,,,,,,,,,1 = Have (a/another) child {4878},,,,,1 = Have (a/another( child {11976},1 = Have (a/another) child {17908},,,,,,1 = Tener otro hijo {2830},1 = Tener (un/otro) hijo/a {3592},,,,,1 = Have (a/another) child {3081},,1 = Have (a/another) child {490},,,,1 = Ter outro filho {1444},,,1 = Have another child {2628},1 = Have (a/another) child {2262},1 = Have (a/another) child {1982},,,,1 = Have (a/another) child {7609},,,1 = Have (a/another( child {3727},,,1 = Have (a/another) child {4099},,1 = Have (a/another) child {3869},1 = Have (a/another) child {2969},,,1 = Have (a/another) child {6562},1 = Have (a/another) child {6708},,1 = Have (a/another( child {2504},1 = Have (a/another) child {3043},,,,1 = Have (a/another) child {2201},1 = Have (a/another) child {2326},,,1 = Have (a/another( child {3257},,1 = Have (another child) {4950},,1 = Have (a/another( child {1179},1 = Have (a/another) child {1667},,1 = Have (a/another) child {3801},,,,1 = Avoir (un /autre) enfant {3528},1 = Avoir un (autre) enfant {3907},,1 = Have (a/another) child {1968},,,,1 = Avoir un (autre) enfant {1250},,,1 = Have (a/another( child {1227},1 = Have (a/another) child {1864},,1 = Have (a/another( child {1988},1 = Have (a/another) child {2480},,,,,1 = Have (a/another( child {6504},,,,,,1 = Have (a/another) child {3563},1 = Have (a/another) child {2921},,1 = Have (a/another( child {1422},,,,1 = Have (a/another) child {8147},,,,,,,
,3,Says cannot get pregnant,,,,,,,,,,,,,,,,,,,,,,3 = Dit qu'elle ne peut pas tomber enceinte {264},,,,,,,,,,,,,,,3 = Dit qu'elle ne peut pas tomber enceinte {189},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Dit qu'elle ne peut pas tomber enceinte {327},3 = Dit qu'elle ne peut pas tomber enceinte {539},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Dice que no puede quedarse embarazada {128},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Don't know,,,,,,,8 = IndÃ©cise / NSP {1327},,,,,,,,8 = Undecided / Don't know {2555},8 = Undecided / Don't know {123},8 = Undecided/don't know {400},8 = Undecided / Don't know {525},8 = Undecided/don't know {197},8 = Undecided / Don't know {474},,8 = Indécise / NSP {194},8 = Undecided / Don't know {1165},,,,8 = Undecided/don't know {1008},8 = Undecided / Don't know {505},,,8 = Indecise/NSP {275},,,,,,8 = Indécise / NSP {204},,,8 = Indecise/NSP {1232},8 = Indécise / NSP {708},,,8 = Indécise / NSP {794},,,,8 = No ha decidido/No sabe {216},,,,,,,,8 = Indecisa /no sabe {405},8 = No ha decidido / No sabe {648},8 = No lo ha decidido/No sabe {1257},,,,,8 = IndÃ©cise / NSP {755},8 = Indecise/NSP {486},,8 = No ha decidido o no sabe {1496},,8 = No lo ha decidido/NS {669},,,,,,,,,,,,8 = Undecided/don't know {139},8 = Undecided / Don't know {351},,,,,8 = Indecise/NSP {1096},,8 = Idecisa/NS {372},,8 = Undecided/don't know {392},8 = Undecided / DK {299},,,,,,,,,,8 = Undecided/don't know {1640},8 = Undecided / Don't know {2630},,,,,8 = Undecided / Don't know {2187},8 = Undecided / DK {1458},,,8 = Undecided/DK {539},8 = Undecided / DK {765},,,,8 = Undecided / Don't know {2710},,,,,,,,,,8 = Undecided / DK {1111},,,,8 = Indecise / NSP {873},8 = Indecise / NSP {1252},,,8 = Indecise / NSP {235},,8 = No lo ha decidido/NS {545},,,8 = Undecided/DK {513},8 = DK {243},8 = Undecided / Don't know {729},8 = Undecided/don't know {178},8 = Undecided / Don't know {355},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Undecided / DK {140},,,,,,,,,,,8 = Undecided / DK {458},,,,,8 = Undecided/don't know {2759},8 = Undecided / Don't know {2878},,,,,,8 = No ha decidido / No sabe {1240},8 = No lo ha decidido/NS {354},,,,,8 = Undecided / Don't know {199},,8 = Undecided / Don't know {137},,,,8 = Indecisa / NÃƒÂ£o sabe {115},,,8 = Undecided/don't know {634},8 = Undecided / Don't know {489},8 = Undecided / DK {515},,,,8 = Undecided / Don't know {1411},,,8 = Undecided/don't know {258},,,8 = Undecided / Don't know {618},,8 = Undecided / Don't know {383},8 = Undecided / DK {235},,,8 = Undecided / Don't know {541},8 = Undecided / DK {813},,8 = Undecided/don't know {325},8 = Undecided / Don't know {309},,,,8 = Undecided / Don't know {119},8 = Undecided / DK {149},,,8 = Undecided/don't know {2306},,8 = Undecided/don't know {880},,8 = Undecided/don't know {602},8 = Undecided / Don't know {173},,8 = Undecided / Don't know {3795},,,,8 = Indecise/NSP {358},8 = Indécise / NSP {226},,8 = Undecided/don't know {452},,,,8 = Indécise / NSP {172},,,8 = Undecided/don't know {449},8 = Undecided / Don't know {334},,8 = Undecided/don't know {892},8 = Undecided / Don't know {1589},,,,,8 = Undecided/don't know {1460},,,,,,8 = Undecided / Don't know {1101},8 = Undecided / DK {997},,8 = Undecided/don't know {175},,,,8 = Undecided / DK {476},,,,,,,
,9,Missing,,,,,,,9 = Manquant {86},,,,,,,,9 = Missing {382},9 = Missing {6},,,9 = Missing {1},9 = Missing {4},,9 = Non déclaré/Pas de réponse {19},9 = Missing {3},,,,,9 = Missing {11},,,9 = Manquant {1},,,,,,9 = Manquant {21},,,9 = Manquant {284},9 = Manquant {214},,,9 = Manquant {397},,,,9 = Missing {12},,,,8 = Indécise/NSP {573},,,,,9 = Omitido {7},9 = Omitido {15},,,,,9 = Manquant {30},9 = Manquant {46},,9 = Omitido {773},,9 = Omitido {11},,,,,,,,,,,,9 = Missing {1},,,,,,9 = Manquant {29},,,,9 = Missing {32},9 = Missing {110},,,,,,,,,,9 = Missing {1},9 = Missing {18},,,,,,9 = Missing {24},,,,9 = Missing {6},,,,9 = Missing {88},,,,,,,,,,9 = Missing {117},,,,9 = Manquant {194},9 = Manquant {138},,,9 = Manquant {242},,9 = No responde {22},,,,9 = Missing {18},,9 = Missing {25},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {1},,,,,,,,,,,9 = Missing {26},,,,,9 = Missing {4},9 = Missing {139},,,,,,9 = Missing {4},9 = No reportado {5},,,,,9 = Missing {3},,,,,,9 = Em falta {14},,,9 = Missing {32},9 = Missing {6},9 = Missing {4},,,,9 = Missing {218},,,9 = Missing {36},,,9 = Missing {623},,,9 = Missing {9},,,9 = Missing {207},9 = Missing {130},,9 = Missing {13},9 = Missing {52},,,,9 = Missing {5},9 = Missing {10},,,9 = Missing {2},,,,9 = Missing {18},9 = Missing {47},,,,,,9 = Manquant {1},9 = Manquant {69},,9 = Missing {1},,,,9 = Manquant {39},,,9 = Missing {2},9 = Missing {5},,9 = Missing {1},9 = Missing {32},,,,,9 = Missing {7},,,,,,9 = Missing {15},9 = Missing {10},,9 = Missing {16},,,,9 = Missing {27},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),,,,,,,NA = NA {26069},,,,,,,,NA = NA {21254},NA = NA {483},NA = NA {11},NA = NA {520},,NA = NA {1197},,NA = NA {1996},NA = NA {4139},,,,NA = NA {87},NA = NA {337},,,NA = NA {3084},,,11 = NA {127},,,NA = NA {1476},,,NA = NA {1880},NA = NA {2596},,,NA = NA {4477},,,,NA = NA {1783},,,,NA = NA {1174},,,,NA = NA {233},NA = NA {2275},NA = NA {2112},,,,,NA = NA {2064},NA = NA {4611},,NA = NA {10859},,NA = NA {5304},,,,,,,,,,,,NA = NA {5098},NA = NA {1319},,,,,NA = NA {1895},,NA = NA {1376},,NA = NA {218},NA = NA {1184},,,,,,,,,,NA = NA {11767},NA = NA {28229},,,,,NA = NA {857},NA = NA {1038},,,,NA = NA {748},,,,NA = NA {3488},,,,,,,,,,NA = NA {4900},,,,NA = NA {5295},NA = NA {3187},,,NA = NA {7378},,NA = NA {4221},,,NA = NA {1954},NA = NA {1453},NA = NA {1697},NA = NA {202},NA = NA {245},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {910},,,,,,,,,,,NA = NA {2870},,,,,NA = NA {5224},NA = NA {6689},,,,,,NA = NA {2418},NA = NA {1313},,,,,NA = NA {1090},,NA = NA {178},,,,NA = NA {413},,,NA = NA {697},NA = NA {587},NA = NA {464},,,,NA = NA {2137},,,NA = NA {2877},,,NA = NA {5119},,NA = NA {2666},NA = NA {7247},,,NA = NA {9033},NA = NA {10081},,NA = NA {676},NA = NA {1662},,,,NA = NA {592},NA = NA {562},,,NA = NA {13463},,NA = NA {861},,NA = NA {2094},NA = NA {337},,NA = NA {5252},,,,NA = NA {835},NA = NA {1149},,NA = NA {221},,,,NA = NA {6293},,,NA = NA {2717},NA = NA {2687},,NA = NA {10},NA = NA {483},,,,,NA = NA {286},,,,,,NA = NA {1198},NA = NA {932},,NA = NA {393},,,,NA = NA {2063},,,,,,,
