Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,2 = No {18010},,2 = No {4794},,,,2 = Non {16461},,,2 = No {20789},,,,,2 = No {40045},2 = No {1488},2 = No {5779},2 = No {5533},2 = No {1593},2 = No {3842},,2 = Non {14354},2 = No {13375},,,,2 = No {4720},2 = No {4307},,,2 = Non {6605},,,2 = Non {8266},,2 = Non {7089},2 = Non {8936},,,2 = Non {8953},2 = Non {9884},,,2 = Non {13344},,,,2 = No {4869},,,,2 = Non {11824},,,,2 = No {8207},2 = No {8844},2 = No {8717},,,,,2 = Non {11126},2 = Non {2400},,2 = No {27484},,2 = No {12775},,,,,,,,,,2 = No {9581},,2 = No {5489},2 = No {9684},,,,,2 = Non {7300},,2 = NÃ£o {9341},,2 = No {4676},2 = No {4711},,,,,,,,,,2 = No {13334},2 = No {28914},,,,2 = No {13974},2 = No {13442},2 = No {11992},,,2 = No {6575},2 = No {6286},,,,2 = No {21093},,,,,,,,,2 = No {23056},2 = No {22236},,,,2 = Non {23421},2 = Non {16171},,2 = Non {4295},2 = Non {6384},,2 = No {11653},,,2 = No {5857},2 = No {8325},2 = No {12087},2 = No {2164},2 = No {3343},,2 = Não {11859},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No {5008},,,,,,,,,,,2 = No {13558},,,,,2 = No {21454},2 = No {26840},,,,,,2 = No {8888},2 = No {6967},,,,,2 = No {5775},,2 = No {1218},,,,2 = NÃƒÂ£o {2670},,,2 = No {7113},2 = No {5186},2 = No {4534},,,2 = No {6665},2 = No {11866},,,2 = No {3536},,,2 = No {5877},,2 = No {10022},2 = No {6833},,,2 = No {9366},2 = No {10045},,2 = No {5008},2 = No {5932},,,,2 = No {4449},2 = No {4493},,,2 = No {11931},,2 = No {9649},,2 = No {5139},2 = No {3693},2 = No {26081},2 = No {21433},,,,2 = Non {5708},2 = Non {5836},,2 = No {4440},,,,2 = Non {4345},,,2 = No {4150},2 = No {4983},,2 = No {6001},2 = No {7771},,,,,2 = No {13119},2 = No {2447},,,,2 = No {5882},2 = No {11209},2 = No {9437},,2 = No {2902},,,2 = no {10490},2 = No {13300},,,,,,,
,1,Yes,"1 = Yes, currently pregnant {3175}",,"1 = Yes, currently pregnant {162}",,,,"1 = Oui, actuellement enceinte {2295}",,,"1 = Sí, actualmente embarazada {794}",,,,,"1 = Yes, currently pregnant {2188}","1 = Yes, currently pregnant {52}","1 = Yes, currently pregnant {100}","1 = Yes, currently pregnant {198}","1 = Yes, currently pregnant {76}","1 = Yes, currently pregnant {238}",,"1 = Oui, actuellement enceinte {1437}","1 = Yes, currently pregnant {614}",,,,"1 = Yes, currently pregnant {152}","1 = Yes, currently pregnant {131}",,,1 = Oui actuellement enceinte {667},,,1 = Oui actuellement enceinte {821},,1 = Oui actuellement enceinte {800},"1 = Oui, actuellement enceinte {868}",,,1 = Oui actuellement enceinte {1265},"1 = Oui, actuellement enceinte {1581}",,,"1 = Oui, actuellement enceinte {2310}",,,,"1 = Sí, actualmente está embarazada {183}",,,,1 = Oui actuellement enceinte {1042},,,,"1 = Si, actualmente embarazada {202}","1 = Si, embarazada ahora {196}","1 = SÃ­, actualmente embarazada {246}",,,,,"1 = Oui, actuellement enceinte {1619}",1 = Oui actuellement enceinte {290},,"1 = Si, actualmente embarazada {1538}",,"1 = SÃ­, actualmente embarazada {503}",,,,,,,,,,"1 = Yes, currently pregnant {247}",,"1 = Yes, currently pregnant {386}","1 = Yes, currently pregnant {918}",,,,,1 = Oui actuellement enceinte {640},,"1 = Sim,actualmente gravida {848}",,"1 = Yes, currently pregnant {297}","1 = Yes, currently pregnant {316}",,,,,,,,,,"1 = Yes, currently pregnant {2275}","1 = Yes, currently pregnant {5034}",,,,"1 = Yes, currently pregnant {554}","1 = Yes, currently pregnant {531}","1 = Yes, currently pregnant {654}",,,"1 = Yes, currently pregnant {336}","1 = Yes, currently pregnant {538}",,,,"1 = Yes, currently pregnant {1170}",,,,,,,,,"1 = Yes, currently pregnant {3072}","1 = Yes, currently pregnant {1925}",,,,"1 = Oui, actuellement enceinte {3181}","1 = Oui, actuellement enceinte {2101}",,1 = Oui {8235},"1 = Oui, actuellement enceinte {1080}",,"1 = SÃ­, actualmente embarazada {428}",,,1 = Yes {242},1 = Yes {425},1 = Yes {728},"1 = Yes, currently pregnant {75}","1 = Yes, currently pregnant {128}",,"1 = Sim, está grávida {1305}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 = Yes, currently pregnant {224}",,,,,,,,,,,"1 = Yes, currently pregnant {582}",,,,,"1 = Yes, currently pregnant {2696}","1 = Yes, currently pregnant {3686}",,,,,,"1 = Si, actualmente embarazada {492}","1 = Sí, actualmente embarazada {312}",,,,,"1 = Yes, currently pregnant {193}",,"1 = Yes, currently pregnant {28}",,,,"1 = Sim, actualmente grÃƒÂ¡vida {235}",,,"1 = Yes, currently pregnant {318}","1 = Yes, currently pregnant {165}","1 = Yes, currently pregnant {159}",,,"1 = Yes, currently pregnant {963}","1 = Yes, currently pregnant {1359}",,,"1 = Yes, currently pregnant {776}",,,"1 = Yes, currently pregnant {886}",,"1 = Yes, currently pregnant {1392}","1 = Yes, currently pregnant {1034}",,,"1 = Yes, currently pregnant {1622}","1 = Yes, currently pregnant {1777}",,"1 = Yes, currently pregnant {238}","1 = Yes, currently pregnant {315}",,,,"1 = Yes, currently pregnant {210}","1 = Yes, currently pregnant {240}",,,"1 = Yes, currently pregnant {1541}",,"1 = Yes, currently pregnant {478}",,"1 = Yes, currently pregnant {244}","1 = Yes, currently pregnant {125}","1 = Yes, currently pregnant {864}",1 = Yes {527},,,,1 = Oui actuellement enceinte {484},"1 = Oui, actuellement enceinte {497}",,"1 = Yes, currently pregnant {147}",,,,"1 = Oui, actuellement enceinte {404}",,,"1 = Yes, currently pregnant {269}","1 = Yes, currently pregnant {371}",,"1 = Yes, currently pregnant {131}","1 = Yes, currently pregnant {189}",,,,,"1 = Yes, currently pregnant {737}","1 = Yes, currently pregnant {193}",,,,"1 = Yes, currently pregnant {308}","1 = Yes, currently pregnant {397}","1 = Yes, currently pregnant {357}",,"1 = Yes, currently pregnant {569}",,,"1 = yes, currently pregnant {808}","1 = Yes, currently pregnant {1002}",,,,,,,
,8,Don't know,8 = Unsure or DK {68},,8 = Unsure or DK {35},,,,8 = NSP / Pas sÃ»re {116},,,8 = No está segura o no sabe {69},,,,,8 = Unsure or DK {125},8 = Unsure or DK {3},8 = Unsure or DK {16},8 = Unsure or DK {14},8 = Unsure or DK {6},8 = Unsure or DK {16},,8 = Ne sait pas / Pas sûre {23},8 = Unsure or DK {29},,,,8 = Unsure or DK {18},8 = Unsure or DK {6},,,8 = Pas sur /NSP {44},,,8 = Pas sur /NSP {165},,8 = Pas sur /NSP {46},8 = Pas sûre ou NSP {51},,,8 = Pas sur /NSP {82},8 = NSP / Pas sûre {29},,,8 = NSP / Pas sûre {230},,,,8 = No está segura o no sabe {28},,,,8 = Pas sur /NSP {20},,,,8 = No segura o NS {39},8 = No está segura o no sabe {33},8 = No estÃ¡ segura o no sabe {31},,,,,8 = NSP / Pas sÃ»re {108},8 = Pas sur /NSP {36},,"8 = No estÃ¡ segura, no sabe {163}",,8 = No estÃ¡ segura o no sabe {72},,,,,,,,,,8 = Unsure or DK {19},,8 = Unsure or DK {13},8 = Unsure or DK {25},,,,,8 = Pas sur /NSP {66},,8 = NÃ£o tem certeza ou NS {45},,8 = Unsure or DK {41},8 = Unsure or DK {40},,,,,,,,,,8 = Unsure or DK {188},8 = Unsure or DK {273},,,,8 = Unsure or DK {32},8 = Unsure or DK {41},8 = Unsure or DK {23},,,8 = Unsure/DK {62},8 = Unsure or DK {29},,,,8 = Unsure or DK {188},,,,,,,,,8 = Unsure or DK {97},8 = Unsure or DK {64},,,,8 = NSP / Pas sûre {140},8 = NSP / Pas sûre {115},,,8 = NSP / Pas sere {147},,8 = No estÃ¡ segura o no sabe {29},,,8 = DK {4},8 = DK {12},8 = Unsure/ DK {15},8 = Unsure or DK {8},8 = Unsure or DK {22},,8 = Não está certa ou Não Sabe {82},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Unsure or DK {18},,,,,,,,,,,8 = Unsure or DK {21},,,,,8 = Unsure or DK {415},8 = Unsure or DK {223},,,,,,8 = No estÃ¡ segura o no sabe {51},8 = No está segura o no sabe {32},,,,,8 = Unsure or DK {30},,8 = Unsure or DK {7},,,,8 = NÃƒÂ£o tem certeza ou  NÃƒÂ£o Sabe {28},,,8 = Unsure or DK {66},8 = Unsure or DK {31},8 = Unsure or DK {18},,,8 = Unsure or DK {26},8 = Unsure or DK {116},,,8 = Unsure or DK {62},,,8 = Unsure or DK {206},,8 = Unsure or DK {40},8 = Unsure or DK {33},,,8 = Unsure or DK {160},8 = Unsure or DK {157},,8 = Unsure or DK {35},8 = Unsure or DK {37},,,,8 = Unsure or DK {29},8 = Unsure or DK {28},,,8 = Unsure or DK {168},,8 = Unsure or DK {116},,8 = Unsure or DK {27},8 = Unsure or DK {11},8 = Unsure or DK {38},8 = Unsure or DK {21},,,,8 = Pas sur /NSP {18},8 = NSP / Pas sûre {38},,8 = Unsure or DK {18},,,,8 = NSP / Pas sûre {22},,,8 = Unsure or DK {38},8 = Unsure or DK {34},,8 = Unsure or DK {32},8 = Unsure or DK {43},,,,,8 = Unsure or DK {59},8 = Unsure or DK {13},,,,8 = Unsure or DK {12},8 = Unsure or DK {50},8 = Unsure or DK {33},,8 = Unsure or DK {43},,,8 = unsure or dk {36},8 = Unsure or DK {105},,,,,,,
,7,Missing,9 = Missing {37},,,,,,9 = Manquant {35},,,9 = Missing {8},,,,,9 = Missing {31},,,,,,,9 = Non déclaré/Pas de réponse {1},,,,,,9 = Missing {2},,,,,,9 = Manquant {53},,9 = Manquant {14},9 = Manquant {6},,,9 = Manquant {256},9 = Manquant {16},,,9 = Manquant {48},,,,9 = Missing {4},,,,9 = Manquant {2},,,,,,9 = Omitido {1},,,,,,9 = Manquant {34},,9 = Omitido {15},,,,,,,,,,,,,,9 = Missing {1},,,,,,9 = Manquant {3},,,,9 = Missing {21},9 = Missing {9},,,,,,,,,,,9 = Missing {1},,,,,,9 = Missing {1},,,,9 = Missing {1},,,,9 = Missing {25},,,,,,,,,9 = Missing {34},9 = Missing {5},,,,9 = Manquant {12},9 = Manquant {22},,9 = Manquant {19},9 = Manquant {77},,,,,,,,9 = Missing {11},,,9 = Sem informação {16},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {1},,,,,,,,,,,9 = Missing {1},,,,,,9 = Missing {23},,,,,,,9 = No reportado {},,,,,9 = Missing {2},,,,,,9 = Em falta {2},,,9 = Missing {19},9 = Missing {3},9 = Missing {2},,,,9 = Missing {18},,,9 = Missing {26},,,9 = Missing {371},,,,,,9 = Missing {96},9 = Missing {44},,9 = Missing {2},9 = Missing {6},,,,,9 = Missing {1},,,9 = Missing {1},,,,9 = Missing {35},9 = Missing {2},9 = Missing {1},,,,,,9 = Manquant {5},,,,,,9 = Manquant {6},,,9 = Missing {3},,,,9 = Missing {3},,,,,9 = Missing {4},9 = Missing {39},,,,,9 = Missing {7},,,9 = Missing {5},,,9 = missing {5},9 = Missing {2},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = NA {763},,NA = NA {137},,,,NA = NA {22277},,,NA = NA {2118},,,,,NA = NA {17210},NA = NA {373},NA = NA {11},NA = NA {166},,NA = NA {389},,NA = NA {533},NA = NA {2805},,,,NA = NA {87},NA = NA {199},,,NA = NA {843},,,NA = NA {309},,NA = NA {1459},NA = NA {586},,,NA = NA {1880},NA = NA {997},,,NA = NA {2156},,,,NA = NA {656},,,,NA = NA {132},,,,NA = NA {233},NA = NA {367},NA = NA {237},,,,,NA = NA {382},NA = NA {4611},,NA = NA {1032},,NA = NA {1515},,,,,,,,,,NA = NA {1061},,NA = NA {351},NA = NA {336},,,,,NA = NA {1895},,NA = NA {510},,NA = NA {218},NA = NA {733},,,,,,,,,,NA = NA {11767},NA = NA {22223},,,,NA = NA {159},NA = NA {214},NA = NA {240},,,,NA = NA {141},,,,NA = NA {1461},,,,,,,,,NA = NA {814},NA = NA {1200},,,,NA = NA {2092},NA = NA {1029},,NA = NA {867},NA = NA {5969},,NA = NA {827},,,NA = NA {1954},NA = NA {837},NA = NA {627},NA = NA {127},NA = NA {113},,NA = NA {1798},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {664},,,,,,,,,,,NA = NA {774},,,,,NA = NA {2528},NA = NA {2927},,,,,,NA = NA {414},NA = NA {542},,,,,NA = NA {718},,NA = NA {88},,,,NA = NA {166},,,NA = NA {379},NA = NA {412},NA = NA {284},,,NA = NA {1603},NA = NA {707},,,NA = NA {2877},,,NA = NA {4228},,NA = NA {868},NA = NA {6064},,,NA = NA {7370},NA = NA {8304},,NA = NA {676},NA = NA {947},,,,NA = NA {268},NA = NA {239},,,NA = NA {11922},,NA = NA {383},,NA = NA {2094},NA = NA {193},NA = NA {10203},NA = NA {275},,,,,NA = NA {640},,NA = NA {221},,,,NA = NA {5737},,,NA = NA {2717},NA = NA {2305},,NA = NA {10},NA = NA {233},,,,,NA = NA {286},NA = NA {569},,,,NA = NA {3269},NA = NA {452},NA = NA {363},,NA = NA {393},,,NA = NA {1149},NA = NA {967},,,,,,,
