Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,,,,,,2 = Non {342},,,,,,,,2 = No {457},2 = No {28},,2 = No {11},,2 = No {95},,,2 = No {131},,,,,2 = No {19},,,,,,,,,2 = Non {202},,,,2 = Non {386},,,2 = Non {592},,,,2 = No {91},,,,,,,,,2 = No {83},2 = No {63},,,,,2 = Non {562},,,2 = No {742},,2 = No {189},,,,,,,,,,,,,2 = No {344},,,,,,,2 = Não {173},,,2 = No {147},,,,,,,,,,,2 = No {734},,,,,2 = No {70},2 = No {29},,,,2 = No {40},,,,2 = No {147},,,,,,,,,,2 = No {919},,,,,,,,2 = Non {254},,2 = No {136},,,,2 = No {47},2 = No {113},,2 = No {7},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No {39},,,,,,,,,,,2 = No {81},,,,,,2 = No {564},,,,,,2 = No {294},,,,,,2 = No {25},,2 = No {12},,,,2 = NÃ£o {128},,,,2 = No {17},2 = No {13},,,,2 = No {223},,,,,,2 = No {125},,2 = No {415},2 = No {286},,,2 = No {376},2 = No {399},,,2 = No {125},,,,2 = No {126},2 = No {139},,,,,,,,2 = No {17},,2 = No {91},,,,,2 = Non {182},,,,,,2 = Non {91},,,,2 = No {2},,,2 = No {8},,,,,,,,,,,2 = No {66},2 = No {62},,,,,,2 = No {308},,,,,,,
,1,Then,,,,,,,1 = Oui {1918},,,,,,,,1 = Yes {1684},1 = Yes {24},,1 = Yes {187},,1 = Yes {140},,,1 = Yes {482},,,,,1 = Yes {112},,,,,,,,,1 = Oui {661},,,,1 = Oui {1144},,,1 = Oui {1672},,,,1 = S� {91},,,,,,,,,1 = Si {113},1 = Sí {182},,,,,1 = Oui {1051},,,1 = Si {746},,1 = Si {313},,,,,,,,,,,,,1 = Yes {574},,,,,,,1 = Sim {675},,,1 = Yes {141},,,,,,,,,,,1 = Yes {4298},,,,,1 = Yes {461},1 = Yes {624},,,,1 = Yes {493},,,,1 = Yes {1001},,,,,,,,,,1 = Yes {981},,,,,,,,1 = Oui {793},,1 = Sí {290},,,,1 = Yes {363},1 = Yes {615},,1 = Yes {121},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Yes {184},,,,,,,,,,,1 = Yes {498},,,,,,1 = Yes {3073},,,,,,1 = Sí {198},,,,,,1 = Yes {168},,1 = Yes {16},,,,1 = Sim {104},,,,1 = Yes {148},1 = Yes {143},,,,1 = Yes {1114},,,,,,1 = Yes {730},,1 = Yes {981},1 = Yes {748},,,1 = Yes {1224},1 = Yes {1348},,,1 = Yes {187},,,,1 = Yes {80},1 = Yes {96},,,,,,,,1 = Yes {107},,1 = Yes {436},,,,,1 = Oui {300},,,,,,1 = Oui {311},,,,1 = Yes {369},,,1 = Yes {181},,,,,,,,,,,1 = Yes {330},1 = Yes {294},,,,,,1 = Yes {684},,,,,,,
,7,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Missing,,,,,,,9 = Manquant {70},,,,,,,,9 = Missing {47},,,,,9 = Missing {3},,,9 = Missing {1},,,,,,,,,,,,,,9 = Manquant {5},,,,9 = Manquant {51},,,9 = Manquant {46},,,,9 = Missing {1},,,,,,,,,,9 = Omitido {1},,,,,9 = Manquant {6},,,9 = Omitido {50},,9 = Omitido {1},,,,,,,,,,,,,,,,,,,,,,,9 = Missing {28},,,,,,,,,,,9 = Missing {2},,,,,,9 = Missing {1},,,,9 = Missing {5},,,,9 = Missing {22},,,,,,,,,,9 = Missing {25},,,,,,,,9 = Manquant {33},,9 = No responde {2},,,,9 = Missing {15},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {1},,,,,,,,,,,9 = Missing {3},,,,,,9 = Missing {49},,,,,,,,,,,,,,,,,,9 = Em falta {3},,,,,9 = Missing {3},,,,9 = Missing {22},,,,,,9 = Missing {31},,,,,,9 = Missing {22},9 = Missing {30},,,9 = Missing {3},,,,9 = Missing {4},9 = Missing {5},,,,,,,,9 = Missing {1},,,,,,,9 = Manquant {15},,,,,,9 = Manquant {2},,,,,,,,,,,,,,,,,,9 = Missing {1},9 = Missing {1},,,,,,9 = Missing {10},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),,,,,,,NA = NA {38854},,,,,,,,NA = NA {57411},NA = NA {1864},,NA = NA {5713},,NA = NA {4247},,,NA = NA {16209},,,,,NA = NA {4514},,,,,,,,,NA = NA {9579},,,,NA = NA {10926},,,NA = NA {15778},,,,NA = NA {5557},,,,,,,,,NA = NA {9244},NA = NA {8986},,,,,NA = NA {11616},,,NA = NA {28694},,NA = NA {14362},,,,,,,,,,,,,NA = NA {10045},,,,,,,NA = NA {9896},,,NA = NA {5493},,,,,,,,,,,NA = NA {51411},,,,,NA = NA {13697},NA = NA {12256},,,,NA = NA {6457},,,,NA = NA {22767},,,,,,,,,,NA = NA {23505},,,,,,,,NA = NA {12577},,NA = NA {12509},,,,NA = NA {9174},NA = NA {12729},,NA = NA {3478},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {5691},,,,,,,,,,,NA = NA {14354},,,,,,NA = NA {30013},,,,,,NA = NA {9353},,,,,,NA = NA {6525},,NA = NA {1313},,,,NA = NA {2866},,,,NA = NA {5632},NA = NA {4838},,,,NA = NA {12707},,,,,,NA = NA {10682},,NA = NA {10926},NA = NA {12930},,,NA = NA {16992},NA = NA {18550},,,NA = NA {6922},,,,NA = NA {4746},NA = NA {4761},,,,,,,,NA = NA {3899},,NA = NA {21729},,,,,NA = NA {6519},,,,,,NA = NA {10110},,,,NA = NA {7322},,,NA = NA {8050},,,,,,,,,,,NA = NA {11718},NA = NA {9833},,,,,,NA = NA {14374},,,,,,,
