Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Yes,,,,,,,B = B {25},,,,,,,,B = B {1838},B = Menopausal {19},,B = Menopausal {115},,B = Menopausal {49},,B = Ménopause {520},B = Menopausal {99},,,,,B = Menopausal {88},,,,,,,,,B = Ménopause {202},,,,B = Ménopause {239},,,B = Ménopause {430},,,,B = Menopausia {29},,,,,,,,,B = Menopausia {71},B = Menopausia {91},,,,,B = MÃ©nopause {408},,,B = B {80},,B = B {147},,,,,,,,,,,,,B = Menopausal {334},,,,,,,B = B {282},,,B = B {60},,,,,,,,,,,B = Menopausal {660},,,,,B = Menopausal {501},B = Menopausal {456},,,,B = B {143},,,,B = B {613},,,,,,,,,,B = B {318},,,,B = Ménopause {570},B = Ménopause {273},,,B = Menopause {149},,B = B {101},,,,B = Why do you think you are not physically able to get pregnant: B - Menopause {265},B = Menopausal {15},,B = Menopausal {64},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B = Menopausal {101},,,,,,,,,,,B = B {195},,,,,,B = B {569},,,,,,B = Menopausia {141},B = Menopausia {99},,,,,B = Menopausal {195},,B = Menopausal {12},,,,B = B {30},,,,B = Menopause {125},B = Menopausal {83},,,,B = Menopausal {292},,,,,,B = Menopausal {75},,B = Menopausal {713},B = Menopausal {109},,,B = Menopausal {227},B = B {101},,,B = Menopausal {50},,,,B = Menopausal {66},B = Menopausal {65},,,,,,,,B = B {124},,B = Menopausal {212},,,,,B = Ménopause {269},,,,,,B = Ménopause {227},,,,B = Menopausal {237},,,B = Menopausal {223},,,,,,,,,,,B = Menopausal {258},B = B {318},,,,,,B = B {219},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,,,,,,,? = ? {45},,,,,,,,? = ? {12},,,,,,,? = Non déclaré/Pas de réponse {3},? = Missing {3},,,,,? = Missing {2},,,,,,,,,? = Manquant{1},,,,? = Manquant {11},,,? = Manquant {21},,,,,,,,,,,,,,,,,,,? = Manquant {1},,,? = ? {12},,? = ? {1},,,,,,,,,,,,,,,,,,,,,,,? = ? {3},,,,,,,,,,,,,,,,,,,,,? = ? {6},,,,? = ? {5},,,,,,,,,,? = ? {7},,,,? = Manquant {20},? = Manquant {1},,,? = Manquant {3},,? = ? {5},,,,? = Missing {2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = ? {4},,,,,,? = ? {6},,,,,,,? = No reportado {1},,,,,? = Missing {1},,,,,,? = ? {1},,,,,,,,,? = Missing {6},,,,,,? = Missing {16},,,,,,,? = ? {12},,,? = Missing {6},,,,? = Missing {1},,,,,,,,,? = ? {1},,,,,,,? = Manquant {2},,,,,,,,,,,,,,,,,,,,,,,,,? = ? {1},,,,,,? = ? {1},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,NA = NA {41114},,,,,,,,NA = NA {57749},NA = NA {1897},,NA = NA {5796},,NA = NA {NA},,NA = NA {15825},NA = NA {16721},,,,,NA = NA {4555},,,,,,,,,,,,,NA = NA {12257},,,NA = NA {17637},,,,NA = NA {5711},,,,,,,,,NA = NA {9369},NA = NA {NA},,,,,NA = NA {12826},,,NA = NA {30140},,NA = NA {14717},,,,,,,,,,,,,NA = NA {NA},,,,,,,NA = NA {10462},,,NA = NA {5746},,,,,,,,,,,NA = NA {NA},,,,,NA = NA {13727},NA = NA {NA},,,,NA = NA {6846},,,,NA = NA {23319},,,,,,,,,,NA = NA {25105},,,,NA = NA {28256},NA = NA {19164},,,NA = NA {13505},,NA = NA {12831},,,,NA = NA {9599},NA = NA {NA},,NA = NA {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {NA},,,,,,,,,,,NA = NA {14737},,,,,,NA = NA {33124},,,,,,NA = NA {NA},NA = NA {7753},,,,,NA = NA {6522},,NA = NA {1329},,,,NA = NA {3070},,,,NA = NA {5672},NA = NA {NA},,,,NA = NA {13768},,,,,,NA = NA {11477},,NA = NA {11609},NA = NA {NA},,,NA = NA {18387},NA = NA {20214},,,NA = NA {7181},,,,NA = NA {4889},NA = NA {NA},,,,,,,,NA = NA {3899},,NA = NA {NA},,,,,NA = NA {6745},,,,,,NA = NA {10287},,,,NA = NA {NA},,,NA = NA {8016},,,,,,,,,,,NA = NA {11857},NA = NA {9871},,,,,,NA = NA {15156},,,,,,,
