Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,2 = No {833},,,,,,2 = Non {932},,,,,,,,2 = No {1532},2 = No {85},,2 = No {37},,2 = No {251},,,2 = No {399},,,,,2 = No {62},,,,,,,,,2 = Non {727},,,,2 = Non {1298},,,2 = Non {1939},,,,2 = No {414},,,,,,,,,2 = No {843},2 = No {387},,,,,2 = Non {1550},,,2 = No {3044},,2 = No {977},,,,,,,,,,,,,2 = No {969},,,,,,,2 = Não {551},,,2 = No {540},,,,,,,,,,,2 = No {1527},,,2 = No {379},,2 = No {138},2 = No {78},,,,2 = No {49},,,,2 = No {468},,,,,,,,,,2 = No {3319},,,,,,,,2 = Non {843},,2 = No {1224},,,,2 = No {69},2 = No {473},,2 = No {34},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No {655},2 = No {112},,,,,,,,,,,2 = No {239},,,,,,2 = No {1577},,,,,,2 = No {1164},,,,,,2 = No {70},,2 = No {59},,,,2 = NÃ£o {403},,,,2 = No {99},2 = No {99},,,,2 = No {757},,,,,,2 = No {415},,2 = No {1308},2 = No {754},,,2 = No {888},2 = No {1055},,,2 = No {425},,,,2 = No {663},2 = No {637},,,,,,,,2 = No {50},,2 = No {738},,,,,2 = Non {772},,,,,,2 = Non {192},,,,2 = No {4},,,2 = No {59},,,,,,,,,,,2 = No {240},2 = No {263},,,,,,2 = No {1240},,,,,,,
,1,Then,1 = Yes {4038},,,,,,1 = Oui {4961},,,,,,,,1 = Yes {6273},1 = Yes {62},,1 = Yes {1287},,1 = Yes {448},,,1 = Yes {2066},,,,,1 = Yes {656},,,,,,,,,1 = Oui {2129},,,,1 = Oui {3262},,,1 = Oui {4168},,,,1 = S� {439},,,,,,,,,1 = Si {3564},1 = Sí {1802},,,,,1 = Oui {3258},,,1 = Si {4479},,1 = Si {1852},,,,,,,,,,,,,1 = Yes {1904},,,,,,,1 = Sim {2645},,,1 = Yes {713},,,,,,,,,,,1 = Yes {12463},,,1 = Yes {251},,1 = Yes {1889},1 = Yes {2014},,,,1 = Yes {1696},,,,1 = Yes {3913},,,,,,,,,,1 = Yes {4183},,,,,,,,1 = Oui {2686},,1 = Sí {1805},,,,1 = Yes {1617},1 = Yes {1902},,1 = Yes {457},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Yes {2963},1 = Yes {521},,,,,,,,,,,1 = Yes {1818},,,,,,1 = Yes {8274},,,,,,1 = Si {1113},,,,,,1 = Yes {654},,1 = Yes {39},,,,1 = Sim {348},,,,1 = Yes {1086},1 = Yes {855},,,,1 = Yes {2623},,,,,,1 = Yes {3032},,1 = Yes {3027},1 = Yes {2133},,,1 = Yes {4792},1 = Yes {4572},,,1 = Yes {822},,,,1 = Yes {326},1 = Yes {346},,,,,,,,1 = Yes {449},,1 = Yes {2024},,,,,1 = Oui {1159},,,,,,1 = Oui {943},,,,1 = Yes {1463},,,1 = Yes {1494},,,,,,,,,,,1 = Yes {1121},1 = Yes {1212},,,,,,1 = Yes {2669},,,,,,,
,7,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Missing,9 = Missing {91},,,,,,9 = Manquant {85},,,,,,,,9 = Missing {61},,,,,9 = Missing {3},,,,,,,,,,,,,,,,,9 = Manquant {43},,,,9 = Manquant {70},,,9 = Manquant {46},,,,9 = Missing {1},,,,,,,,,,9 = Omitido {4},,,,,9 = Manquant {1},,,9 = Omitido {43},,9 = Omitido {3},,,,,,,,,,,,,,,,,,,,,,,9 = Missing {5},,,,,,,,,,,9 = Missing {4},,,,,,9 = Missing {14},,,,9 = Missing {21},,,,9 = Missing {63},,,,,,,,,,9 = Missing {74},,,,,,,,9 = Manquant {100},,9 = No responde {3},,,,9 = Missing {4},,,9 = Missing {3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {2},9 = Missing {4},,,,,,,,,,,9 = Missing {29},,,,,,9 = Missing {186},,,,,,9 = Missing {1},,,,,,,,,,,,9 = Em falta {7},,,,9 = Missing {2},9 = Missing {5},,,,9 = Missing {35},,,,,,9 = Missing {69},,,9 = Missing {4},,,9 = Missing {49},9 = Missing {57},,,9 = Missing {18},,,,9 = Missing {29},9 = Missing {4},,,,,,,,9 = Missing {4},,,,,,,9 = Manquant {30},,,,,,,,,,,,,9 = Missing {11},,,,,,,,,,,9 = Missing {2},9 = Missing {9},,,,,,9 = Missing {4},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = NA {17091},,,,,,NA = NA {35206},,,,,,,,NA = NA {51733},NA = NA {1769},,NA = NA {4587},,NA = NA {3783},,,NA = NA {14358},,,,,NA = NA {3927},,,,,,,,,NA = NA {7548},,,,NA = NA {7877},,,NA = NA {11935},,,,NA = NA {4886},,,,,,,,,NA = NA {5033},NA = NA {7039},,,,,NA = NA {8426},,,NA = NA {22666},,NA = NA {12033},,,,,,,,,,,,,NA = NA {8090},,,,,,,NA = NA {7548},,,NA = NA {4551},,,,,,,,,,,NA = NA {42451},,,NA = NA {4513},,NA = NA {12201},NA = NA {10804},,,,NA = NA {5229},,,,NA = NA {19493},,,,,,,,,,NA = NA {17854},,,,,,,,NA = NA {10028},,NA = NA {9905},,,,NA = NA {7909},NA = NA {11082},,NA = NA {3112},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {2239},NA = NA {5278},,,,,,,,,,,NA = NA {12850},,,,,,NA = NA {23662},,,,,,NA = NA {7567},,,,,,NA = NA {5994},,NA = NA {1243},,,,NA = NA {2343},,,,NA = NA {4610},NA = NA {4038},,,,NA = NA {10651},,,,,,NA = NA {8052},,NA = NA {7987},NA = NA {11073},,,NA = NA {12885},NA = NA {14643},,,NA = NA {5972},,,,NA = NA {3938},NA = NA {4014},,,,,,,,NA = NA {3521},,NA = NA {19494},,,,,NA = NA {5055},,,,,,NA = NA {9379},,,,NA = NA {6226},,,NA = NA {6675},,,,,,,,,,,NA = NA {10752},NA = NA {8706},,,,,,NA = NA {11463},,,,,,,
