Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,2,No,,,,,,,2 = Pas d'autre enfant {485},,,,,,,,2 = No more / None {958},2 = No more / None {35},,2 = No more / None {68},,2 = No more / None {128},,2 = Pas d'autre enfant {274},2 = No more / None {379},,,,,2 = No more / None {51},,,2 = Pas d'autre du tout/Aucun {83},,,,,,2 = Pas d'autre enfant {148},,,,2 = Pas d'autre enfant {187},,,2 = Pas d'autre enfant {83},,,,2 = No más/Ninguno {120},,,,2 = Pas d'autres du tout/Aucun {150},,,,,2 = No más / Ninguno {131},2 = No mÃ¡s/ninguno {152},,,,,2 = Pas d'autre enfant {232},,,2 = No mÃ¡s o ninguno {820},,2 = No mÃ¡s/ninguno {262},,,,,,,,,,,,,2 = No more / None {253},,,,,,,2 = NÃ£o ter mais filho {121},,,2 = No more / None {156},,,,,,,,,,,2 = No more / None {1363},,,,,2 = No more / None {86},2 = No more / None {88},,,,2 = No more / None {45},,,,2 = No more / None {441},,,,,,,,,,2 = No more / None {604},,,,2 = Pas d'autre enfant {286},2 = Pas d'autre enfant {208},,,2 = Pas d'autre enfant {179},,2 = No mÃ¡s/ninguno {212},,,,2 = No {206},2 = No more/ None {241},2 = No {29},2 = No more / None {25},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No more / None {65},,,,,,,,,,,2 = No more / None {307},,,,,2 = No more/none {343},2 = No more / None {517},,,,,,2 = No mÃ¡s / Ninguno {324},2 = No más/ninguno {159},,,,,2 = No more / None {50},,2 = No more / None {22},,,,2 = NÃƒÂ£o ter mais filhos {125},,,2 = No {125},2 = No more / None {62},2 = No more / None {51},,,,2 = No more / None {267},,,,,,2 = No more / None {44},,2 = No more / None {445},2 = No more / None {281},,,2 = No more / None {179},2 = No more / None {196},,,2 = No more / None {139},,,,2 = No more / None {137},2 = No more / None {161},,,2 = No more /none {360},,2 = No more /none {113},,,2 = No more / None {40},,2 = No more / None {254},,,,2 = Pas d'autres du tout/Aucun {102},2 = Pas d'autre enfant {123},,2 = No more/none {2},,,,2 = Pas d'autre enfant {175},,,,2 = No more / None {54},,,2 = No more / None {50},,,,,,,,,,,2 = No more / None {173},2 = No more / None {156},,,,,,2 = No more / None {330},,,,,,,
,1,Yes,,,,,,,1 = Avoir un autre enfant {1432},,,,,,,,1 = Have another child {692},1 = Have another child {9},,1 = Have another child {66},,1 = Have another child {84},,1 = Avoir un autre enfant {1126},1 = Have another child {171},,,,,1 = Have another child {34},,,1 = Avoir un autre enfant {550},,,,,,1 = Avoir un autre enfant {684},,,,1 = Avoir un autre enfant {1201},,,1 = Avoir un autre enfant {2022},,,,1 = Tener (un/otro) hijo. {50},,,,1 = Avoir (un /autre) enfant {789},,,,,1 = Tener otro hijo {42},1 = Tener otro hijo/a {56},,,,,1 = Avoir un autre enfant {1251},,,1 = Tener otro hijo o hija {567},,1 = Tener otro hijo/a {196},,,,,,,,,,,,,1 = Have another child {599},,,,,,,1 = Ter outro filho {654},,,1 = Have another child {102},,,,,,,,,,,1 = Have another child {2711},,,,,1 = Have another child {292},1 = Have another child {411},,,,1 = Have another child {383},,,,1 = Have another child {575},,,,,,,,,,1 = Have another child {1158},,,,1 = Avoir un autre enfant {2677},1 = Avoir un autre enfant {1732},,,1 = Avoir un autre enfant {796},,1 = Tener otro hijo/a {185},,,,1 = Yes {163},1 = Have another child {396},1 = Yes {31},1 = Have another child {71},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Have another child {139},,,,,,,,,,,1 = Have another child {203},,,,,1 = Have another child {2113},1 = Have another child {2783},,,,,,1 = Tener otro hijo {119},1 = Tener otro hijo/a {134},,,,,1 = Have another child {106},,1 = Have another child {3},,,,1 = Ter outro filho {94},,,1 = Yes {113},1 = Have another child {62},1 = Have another child {54},,,,1 = Have another child {878},,,,,,1 = Have another child {673},,1 = Have another child {835},1 = Have another child {676},,,1 = Have another child {1280},1 = Have another child {1387},,,1 = Have another child {143},,,,1 = Have another child {60},1 = Have another child {63},,,1 = Have (a/another( child {718},,1 = Have (another child) {273},,,1 = Have another child {56},,1 = Have another child {140},,,,1 = Avoir un enfant {326},1 = Avoir un autre enfant {314},,1 = Have (a/another) child {1938},,,,1 = Avoir un autre enfant {183},,,,1 = Have another child {274},,,1 = Have another child {47},,,,,,,,,,,1 = Have another child {195},1 = Have another child {148},,,,,,1 = Have another child {626},,,,,,,
,3,Says cannot get pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Says she cannot get pregnant {9},,3 = Says she cannot get pregnant {8},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Don't know,,,,,,,8 = IndÃ©cise / NSP {339},,,,,,,,8 = Undecided / Don't know {495},8 = Undecided / Don't know {8},,8 = Undecided / Don't know {64},,8 = Undecided / Don't know {25},,8 = Indécise / NSP {37},8 = Undecided / Don't know {63},,,,,8 = Undecided / Don't know {45},,,8 = Indécise/NSP {34},,,,,,8 = Indécise / NSP {32},,,,8 = Indécise / NSP {147},,,8 = Indécise / NSP {172},,,,8 = No ha decidido/No sabe {12},,,,8 = Indécise/NSP {103},,,,,8 = No ha decidido / No sabe {23},8 = No ha decidido/No sabe {37},,,,,8 = IndÃ©cise / NSP {132},,,8 = No ha decidido o no sabe {101},,8 = No ha decidido/NS {45},,,,,,,,,,,,,8 = Undecided / Don't know {66},,,,,,,8 = NÃ£o tem certeza/NS {73},,,8 = Undecided / DK {30},,,,,,,,,,,8 = Undecided / Don't know {958},,,,,8 = Undecided / Don't know {153},8 = Undecided / DK {154},,,,8 = Undecided / DK {106},,,,8 = Undecided / Don't know {138},,,,,,,,,,8 = Undecided / DK {138},,,,8 = Indecise / NSP {192},8 = Indecise / NSP {148},,,8 = Indecise / NSP {82},,8 = No ha decidido/NS {29},,,,8 = DK {44},8 = Undecided / DK {91},8 = DK {11},8 = Undecided / Don't know {32},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Undecided / DK {19},,,,,,,,,,,8 = Undecided / DK {69},,,,,8 = Undecided/Don't Know {244},8 = Undecided / Don't know {340},,,,,,8 = No ha decidido / No sabe {49},8 = No ha decidido/NS {19},,,,,8 = Undecided / Don't know {37},,8 = Undecided / Don't know {3},,,,8 = NÃƒÂ£o tem certeza / NÃƒÂ£o sabe {13},,,8 = DK {76},8 = Undecided / Don't know {41},8 = Undecided / DK {52},,,,8 = Undecided / Don't know {195},,,,,,8 = Undecided / Don't know {86},,8 = Undecided / Don't know {116},8 = Undecided / DK {77},,,8 = Undecided / Don't know {70},8 = Undecided / DK {168},,,8 = Undecided / Don't know {29},,,,8 = Undecided / Don't know {9},8 = Undecided / DK {11},,,8 = Undecided/don't know {456},,8 = Undecided/don't know {84},,,8 = Undecided / Don't know {28},,8 = Undecided / Don't know {133},,,,8 = Indecise/NSP {53},8 = Indécise / NSP {46},,8 = Undecided/don't know {25},,,,8 = Indécise / NSP {44},,,,8 = Undecided / Don't know {43},,,8 = Undecided / Don't know {92},,,,,,,,,,,8 = Undecided / Don't know {28},8 = Undecided / DK {52},,,,,,8 = Undecided / DK {36},,,,,,,
,9,Missing,,,,,,,9 = Manquant {74},,,,,,,,9 = Missing {43},,,,,9 = Missing {1},,9 = Non déclaré/Pas de réponse {},9 = Missing {1},,,,,9 = Missing {1},,,,,,,,,9 = Manquant {4},,,,9 = Manquant {46},,,9 = Manquant {33},,,,9 = Missing {1},,,,,,,,,,9 = Omitido {1},,,,,9 = Manquant {4},,,9 = Omitido {50},,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {28},,,,,,,,,,,9 = Missing {2},,,,,,9 = Missing {1},,,,9 = Missing {4},,,,9 = Missing {16},,,,,,,,,,9 = Missing {25},,,,9 = Manquant {26},9 = Manquant {13},,,9 = Manquant {23},,9 = No responde {2},,,,9 = Missing {12},,9 = Missing {4},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {1},,,,,,,,,,,9 = Missing {3},,,,,,9 = Missing {46},,,,,,,9 = No reportado {},,,,,,,,,,,9 = Em falta {3},,,9 = Missing {4},,9 = Missing {2},,,,9 = Missing {19},,,,,,9 = Missing {8},,,,,,9 = Missing {3},9 = Missing {26},,,9 = Missing {4},,,,9 = Missing {4},9 = Missing {5},,,,,,,,9 = Missing {1},,,,,,9 = Manquant {3},9 = Manquant {14},,9 = Missing {3},,,,9 = Manquant {2},,,,,,,,,,,,,,,,,,9 = Missing {1},9 = Missing {1},,,,,,9 = Missing {10},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),,,,,,,NA = NA {38854},,,,,,,,NA = NA {57411},NA = NA {1864},,NA = NA {5713},,NA = NA {4247},,NA = NA {14911},NA = NA {16209},,,,,NA = NA {4514},,,NA = NA {7492},,,1 = NA {397},,,NA = NA {9579},,,,NA = NA {10926},,,NA = NA {15778},,,,NA = NA {5557},,,,NA = NA {11978},,,,,NA = NA {9244},NA = NA {8986},,,,,NA = NA {11616},,,NA = NA {28694},,NA = NA {14362},,,,,,,,,,,,,NA = NA {10045},,,,,,,NA = NA {9896},,,NA = NA {5493},,,,,,,,,,,NA = NA {51411},,,,,NA = NA {13697},NA = NA {12256},,,,NA = NA {6457},,,,NA = NA {22767},,,,,,,,,,NA = NA {23505},,,,NA = NA {25665},NA = NA {17337},,,NA = NA {12577},,NA = NA {12509},,,,NA = NA {9174},NA = NA {12729},NA = NA {2310},NA = NA {3478},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {5691},,,,,,,,,,,NA = NA {14354},,,,,NA = NA {24393},NA = NA {30013},,,,,,NA = NA {9353},NA = NA {7541},,,,,NA = NA {6525},,NA = NA {1313},,,,NA = NA {2866},,,NA = NA {7577},NA = NA {5632},NA = NA {4838},,,,NA = NA {12707},,,,,,NA = NA {10757},,NA = NA {10926},NA = NA {12930},,,NA = NA {17082},NA = NA {18550},,,NA = NA {6922},,,,NA = NA {4746},NA = NA {4761},,,NA = NA {24020},,NA = NA {10148},,,NA = NA {3899},,NA = NA {21729},,,,NA = NA {5726},NA = NA {6519},,NA = NA {2858},,,,NA = NA {10110},,,,NA = NA {7322},,,NA = NA {8050},,,,,,,,,,,NA = NA {11718},NA = NA {9833},,,,,,NA = NA {14374},,,,,,,
