Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
TRUE,99,Missing,99 = 99{13},,,,,,99 = 99{6},,,,,,,,,,,,,,,99 = Non déclaré/Pas de réponse {4},,,,,,,,,,,,,,,99 = NSP {19},,,,99 = 99{1},,,99 = 99{7},,,,99 = 99{3},,,,,,,,,99 = 99{1},,,,,,,,,99 = 99{2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99 = 99{1},,,99 = 99{1},,,,,,,,,,,,,,,,,,,,,,99 = Manquant {5},999 = Manquant {20},,,99 = 99{1},,99 = 99{3},,,,99 = Missing {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99 = 99{5},,,,,,,99 = No reportado,,,,,,,,,,,,,,,,99 = 99{1},,,,99 = 99{2},,,,,,99 = 99{2},,,99 = 99{2},,,99 = 99{11},,,,,,,,99 = 99{1},,,,,,,,,,,,,,,,99 = 99{1},,,,,,,,,,,,,,,,,,,,,,,,99 = 99{1},,,,,,,,,,,,,,
,98,Don't know,98 = 98{11},,,,,,98 = 98{38},,,,,,,,98 = 98{28},98 = 98{7},,98 = 98{4},,98 = 98{12},,98 = Ne sait pas {13},98 = 98{7},,,,,98 = 98{4},,,,,,,,,98 = Manquant {1},,,,98 = 98{151},,,98 = 98{558},,,,98 = 98{15},,,,,,,,,98 = 98{84},98 = 98{50},,,,,98 = 98{132},,,98 = 98{94},,98 = 98{20},,,,,,,,,,,,,98 = 98{24},,,,,,,98 = 98{40},,,98 = 98{12},,,,,,,,,,,98 = 98{38},,,98 = 98{26},,98 = 98{11},98 = 98{3},,,,98 = 98{2},,,,98 = 98{25},,,,,,,,,,98 = 98{41},,,,98 = NSP {143},998 = NSP {107},,,98 = 98{21},,98 = 98{20},,,,98 = DK {5},98 = 98{6},,98 = 98{1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98 = 98{5},98 = 98{1},,,,,,,,,,,98 = 98{7},,,,,,98 = 98{117},,,,,,98 = 98{34},98 = No sabe {12},,,,,98 = 98{4},,98 = 98{1},,,,98 = 98{6},,,,98 = 98{7},98 = 98{6},,,,98 = 98{51},,,,,,98 = 98{54},,,98 = 98{7},,,98 = 98{20},98 = 98{51},,,98 = 98{39},,,,98 = 98{14},98 = 98{11},,,,,,,,98 = 98{1},,98 = 98{70},,,,,98 = 98{35},,,,,,98 = 98{2},,,,,,,98 = 98{9},,,,,,,,,,,98 = 98{11},98 = 98{8},,,,,,98 = 98{13},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),NA = NA {21559},,,,,,NA = NA {40625},,,,,,,,NA = NA {58805},NA = NA {1864},,NA = NA {5886},,NA = NA {4329},,NA = NA {14938},NA = NA {16674},,,,,NA = NA {4602},,,,,,,,,NA = NA {9857},,,,NA = NA {11463},,,NA = NA {16359},,,,NA = NA {5500},,,,,,,,,NA = NA {8824},NA = NA {8977},,,,,NA = NA {11947},,,NA = NA {27975},,NA = NA {14104},,,,,,,,,,,,,NA = NA {10234},,,,,,,NA = NA {10314},,,NA = NA {5487},,,,,,,,,,,NA = NA {55725},,,NA = NA {4903},,NA = NA {14107},NA = NA {12850},,,,NA = NA {6954},,,,NA = NA {23762},,,,,,,,,,NA = NA {22892},,,,NA = NA {27806},NA = NA {18317},,,NA = NA {13022},,NA = NA {12063},,,,NA = NA {9565},NA = NA {13159},,NA = NA {3582},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {5607},NA = NA {5834},,,,,,,,,,,NA = NA {14840},,,,,,NA = NA {32658},,,,,,NA = NA {9186},NA = NA {7482},,,,,NA = NA {6658},,NA = NA {1304},,,,NA = NA {2844},,,,NA = NA {5728},NA = NA {4927},,,,NA = NA {13548},,,,,,NA = NA {11265},,,NA = NA {13493},,,NA = NA {17939},NA = NA {19531},,,NA = NA {6927},,,,NA = NA {4506},NA = NA {4584},,,,,,,,NA = NA {3983},,NA = NA {22031},,,,,NA = NA {6457},,,,,,NA = NA {10422},,,,NA = NA {7691},,,NA = NA {8201},,,,,,,,,,,NA = NA {11955},NA = NA {10018},,,,,,NA = NA {14401},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = NA {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = NA {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,
